品目コード,品名,ライン,入目,流速,テンパリング,沃素価,KI製品,初回限定,最終限定,リパック,予定数量(㎏),納期,チケットＮＯ,備考,生産日,順番,slot,nouki_copy,窒素ガス,MO-7S配合,アレルゲン,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,start,end,day
25800811000,MB-Mcﾌﾗｲｵｲﾙ,,16.0,,,,×,,,×,73200,2024-03-06,,,2024-03-06,2,2024-03-06 08:51:00-->2024-03-06 19:19:00,2024-03-06,,×,A,628,0,"7,000","7,700",2024-03-06 08:51:00,2024-03-06 19:19:00,Wednesday
25211221060,ﾊﾟﾈﾘ-ｼｮｰﾄS (6),,15.0,,〇,,×,,,×,10000,2024-03-11,,,2024-03-06,3,2024-03-06 19:49:00-->2024-03-06 21:29:00,2024-03-08,〇,×,A,100,75,"6,000","8,000",2024-03-06 19:49:00,2024-03-06 21:29:00,Wednesday
25800811000,MB-Mcﾌﾗｲｵｲﾙ,,16.0,,,,×,,,×,73200,2024-03-07,,,2024-03-07,1,2024-03-07 07:20:00-->2024-03-07 17:48:00,2024-03-07,,×,A,628,0,"7,000","7,700",2024-03-07 07:20:00,2024-03-07 17:48:00,Thursday
25226125020,ｱﾒﾘｶ-ﾅDX*(15K),,15.0,,,,×,,,×,12700,2024-03-09,,,2024-03-07,2,2024-03-07 18:08:00-->2024-03-07 20:20:00,2024-03-08,,×,A,132,96,"5,800","8,000",2024-03-07 18:08:00,2024-03-07 20:20:00,Thursday
26611311000,ｺﾞ-ﾙﾄﾞｸﾗｳﾝ DX,,15.0,,,,×,,,×,6100,2024-03-09,,,2024-03-07,3,2024-03-07 20:40:00-->2024-03-07 21:41:00,2024-03-08,,×,A,61,0,"6,000","7,500",2024-03-07 20:40:00,2024-03-07 21:41:00,Thursday
25120028830,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,15.0,,,,×,〇,,×,25400,2024-03-11,,副原料無添,2024-03-08,1,2024-03-08 07:20:00-->2024-03-08 12:25:00,2024-03-11,〇,×,A,305,191,"5,000","8,000",2024-03-08 07:20:00,2024-03-08 12:25:00,Friday
25286621830,EZｼｮｰﾄﾆﾝｸﾞ(S),,15.0,,,,×,〇,,×,12700,2024-03-11,,副原料無添,2024-03-08,2,2024-03-08 12:45:00-->2024-03-08 15:56:00,2024-03-11,〇,×,A,191,127,"4,000","6,000",2024-03-08 12:45:00,2024-03-08 15:56:00,Friday
25747111000,SBｵｲﾙR,,16.0,,,,×,,,×,18300,2024-03-09,,,2024-03-08,3,2024-03-08 16:26:00-->2024-03-08 19:21:00,2024-03-08,,×,A,175,0,"6,300","7,500",2024-03-08 16:26:00,2024-03-08 19:21:00,Friday
26631211000,ｸﾗｳﾝﾗ-ﾄﾞ#300(A),,15.0,,,,×,,,×,6100,2024-03-09,,,2024-03-08,4,2024-03-08 19:41:00-->2024-03-08 20:41:00,2024-03-08,,×,A,60,0,"6,100","7,500",2024-03-08 19:41:00,2024-03-08 20:41:00,Friday
25272711000,ﾌﾗｲｵｲﾙ-MK,,15.0,,,,×,,,×,12200,2024-03-11,,,2024-03-11,1,2024-03-11 07:20:00-->2024-03-11 09:36:00,2024-03-11,,×,A,136,0,"5,400","7,500",2024-03-11 07:20:00,2024-03-11 09:36:00,Monday
25320311000,ｱﾒﾘｶ-ﾅ-SP,,15.0,,,,×,,,×,12200,2024-03-11,,,2024-03-11,2,2024-03-11 09:56:00-->2024-03-11 12:07:00,2024-03-11,,×,A,131,0,"5,600","7,000",2024-03-11 09:56:00,2024-03-11 12:07:00,Monday
25555511000,SBｵｲﾙZ,,16.0,,,,×,,,×,6100,2024-03-11,,,2024-03-11,3,2024-03-11 12:27:00-->2024-03-11 13:26:00,2024-03-11,,×,A,59,0,"6,300","8,000",2024-03-11 12:27:00,2024-03-11 13:26:00,Monday
25800311000,MB-ｱﾒﾘｶ-ﾅDX-TL,,16.0,,,,×,,,×,12200,2024-03-11,,,2024-03-11,4,2024-03-11 13:46:00-->2024-03-11 15:53:00,2024-03-11,,×,A,127,0,"5,800","7,500",2024-03-11 13:46:00,2024-03-11 15:53:00,Monday
26611111000,ｸﾗｳﾝﾗ-ﾄﾞ #100K,,15.0,,,,×,,,×,12200,2024-03-11,,,2024-03-11,5,2024-03-11 16:13:00-->2024-03-11 18:13:00,2024-03-11,,×,A,120,0,"6,100","8,000",2024-03-11 16:13:00,2024-03-11 18:13:00,Monday
26631111050,ｸﾗｳﾝﾗ-ﾄﾞ#300 DIR,,15.0,,,,×,,,×,12200,2024-03-11,,,2024-03-11,6,2024-03-11 18:33:00-->2024-03-11 20:35:00,2024-03-11,,×,A,122,0,"6,000","7,500",2024-03-11 18:33:00,2024-03-11 20:35:00,Monday
25222123040,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,20.0,,,,×,,,×,5000,2024-03-14,,,2024-03-11,7,2024-03-11 21:05:00-->2024-03-11 21:55:00,2024-03-14,〇,×,A,50,38,"6,000","8,000",2024-03-11 21:05:00,2024-03-11 21:55:00,Monday
25272711000,ﾌﾗｲｵｲﾙ-MK,,15.0,,,,×,,,×,12200,2024-03-12,,,2024-03-12,1,2024-03-12 07:20:00-->2024-03-12 09:36:00,2024-03-12,,×,A,136,0,"5,400","7,500",2024-03-12 07:20:00,2024-03-12 09:36:00,Tuesday
25710721000,FPｼｮ-ﾄLT2,,15.0,,〇,,×,,,○,12700,2024-03-15,,,2024-03-12,2,2024-03-12 10:06:00-->2024-03-12 12:13:00,2024-03-14,〇,×,A,127,96,"6,000","8,000",2024-03-12 10:06:00,2024-03-12 12:13:00,Tuesday
25710721000,FPｼｮ-ﾄLT2,,15.0,,〇,,×,,,○,12700,2024-03-18,,,2024-03-12,3,2024-03-12 12:33:00-->2024-03-12 14:40:00,2024-03-15,〇,×,A,127,96,"6,000","8,000",2024-03-12 12:33:00,2024-03-12 14:40:00,Tuesday
25710722000,FPｼｮｰﾄLT2(15K),,15.0,,〇,,×,,,×,12700,2024-03-18,,,2024-03-12,4,2024-03-12 15:00:00-->2024-03-12 17:07:00,2024-03-15,〇,×,A,127,96,"6,000","8,000",2024-03-12 15:00:00,2024-03-12 17:07:00,Tuesday
25710021000,RMB-FPｼｮｰﾄLT2(15K),,15.0,,〇,,×,,,×,12700,2024-03-18,,,2024-03-12,5,2024-03-12 17:27:00-->2024-03-12 19:34:00,2024-03-15,〇,×,A,127,96,"6,000",8000,2024-03-12 17:27:00,2024-03-12 19:34:00,Tuesday
25800811000,MB-Mcﾌﾗｲｵｲﾙ,,16.0,,,,×,,,×,73200,2024-03-13,,,2024-03-13,1,2024-03-13 07:20:00-->2024-03-13 17:48:00,2024-03-13,,×,A,628,0,"7,000","7,700",2024-03-13 07:20:00,2024-03-13 17:48:00,Wednesday
25272711000,ﾌﾗｲｵｲﾙ-MK,,15.0,,,,×,,,×,6100,2024-03-19,,,2024-03-13,2,2024-03-13 18:08:00-->2024-03-13 19:16:00,2024-03-19,,×,A,68,0,"5,400","7,500",2024-03-13 18:08:00,2024-03-13 19:16:00,Wednesday
25719121870,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,,15.0,,〇,,×,,〇,○,12700,2024-03-15,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,2024-03-13,3,2024-03-13 19:46:00-->2024-03-13 21:53:00,2024-03-14,〇,○,A,127,153,"6,000","5,000",2024-03-13 19:46:00,2024-03-13 21:53:00,Wednesday
25320311000,ｱﾒﾘｶ-ﾅ-SP,,15.0,,,,×,,,×,12200,2024-03-14,,,2024-03-14,1,2024-03-14 07:20:00-->2024-03-14 09:31:00,2024-03-14,,×,A,131,0,"5,600","7,000",2024-03-14 07:20:00,2024-03-14 09:31:00,Thursday
25747111000,SBｵｲﾙR,,16.0,,,,×,,,×,18300,2024-03-14,,,2024-03-14,2,2024-03-14 09:51:00-->2024-03-14 12:46:00,2024-03-14,,×,A,175,0,"6,300","7,500",2024-03-14 09:51:00,2024-03-14 12:46:00,Thursday
25800311000,MB-ｱﾒﾘｶ-ﾅDX-TL,,16.0,,,,×,,,×,18300,2024-03-14,,,2024-03-14,3,2024-03-14 13:06:00-->2024-03-14 16:16:00,2024-03-14,,×,A,190,0,"5,800","7,500",2024-03-14 13:06:00,2024-03-14 16:16:00,Thursday
25326521000,ﾊﾟﾈﾘ-PV(F),,15.0,,,,×,,,×,12700,2024-03-19,,,2024-03-14,4,2024-03-14 16:46:00-->2024-03-14 19:19:00,2024-03-19,〇,×,A,153,96,"5,000","8,000",2024-03-14 16:46:00,2024-03-14 19:19:00,Thursday
26713812000,ｱｳﾄﾊﾞﾂｸｼｮｰﾄﾆﾝｸﾞ,,15.0,,,,×,,,×,6100,2024-03-20,,,2024-03-14,5,2024-03-14 19:49:00-->2024-03-14 20:49:00,2024-03-20,,×,A,60,0,"6,100","7,500",2024-03-14 19:49:00,2024-03-14 20:49:00,Thursday
25800811000,MB-Mcﾌﾗｲｵｲﾙ,,16.0,,,,×,,,×,73200,2024-03-15,,,2024-03-15,1,2024-03-15 07:20:00-->2024-03-15 17:48:00,2024-03-15,,×,A,628,0,"7,000","7,700",2024-03-15 07:20:00,2024-03-15 17:48:00,Friday
26631111050,ｸﾗｳﾝﾗ-ﾄﾞ#300 DIR,,15.0,,,,×,,,×,12200,2024-03-21,,,2024-03-15,2,2024-03-15 18:08:00-->2024-03-15 20:10:00,2024-03-21,,×,A,122,0,"6,000","7,500",2024-03-15 18:08:00,2024-03-15 20:10:00,Friday
25305711030,ﾎﾞﾂｸｽｵｲﾙSP,,15.0,,,高,×,,,×,6100,2024-03-18,,,2024-03-15,3,2024-03-15 20:30:00-->2024-03-15 21:58:00,2024-03-18,,×,A,88,0,"4,200","7,500",2024-03-15 20:30:00,2024-03-15 21:58:00,Friday
