品目コード,品名,ライン,入目,流速,テンパリング,沃素価,KI製品,初回限定,最終限定,リパック,予定数量(㎏),納期,チケットＮＯ,備考,生産日,順番,slot,nouki_copy,窒素ガス,MO-7S配合,アレルゲン,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,start,end,day
25230924830,ﾁｴｽﾀ-2000 10K (S),,10.0,,〇,,×,,,×,6000,2024-03-11,,,2024-03-05,6,2024-03-05 18:06:00-->2024-03-05 19:13:00,2024-03-08,〇,×,A,75,67,"4,800","5,400",2024-03-05 18:06:00,2024-03-05 19:13:00,Tuesday
25719721850,ﾊｲﾌｴ-ﾄﾞ(M),,15.0,,,低,×,,,×,4500,2024-03-09,,,2024-03-05,7,2024-03-05 19:43:00-->2024-03-05 20:17:00,2024-03-08,,×,A,45,34,"6,000","8,000",2024-03-05 19:43:00,2024-03-05 20:17:00,Tuesday
25318821000,ｱ-ﾈｽﾄ,,15.0,,,,○,,,×,28500,2024-03-09,,,2024-03-06,1,2024-03-06 07:20:00-->2024-03-06 11:08:00,2024-03-08,,×,A,0,228,-,"7,500",2024-03-06 07:20:00,2024-03-06 11:08:00,Wednesday
25716121870,ｼﾞｴﾐﾆNTR(H),,15.0,,,,○,,,×,10000,2024-03-09,,,2024-03-06,2,2024-03-06 11:28:00-->2024-03-06 12:54:00,2024-03-08,,×,A,0,86,-,"7,000",2024-03-06 11:28:00,2024-03-06 12:54:00,Wednesday
25244422870,ｲﾄｳIK-NT(H),,15.0,,,,×,,,×,12700,2024-03-06,,,2024-03-06,3,2024-03-06 14:24:00-->2024-03-06 16:00:00,2024-03-06,〇,×,A,153,96,"5,000","8,000",2024-03-06 14:24:00,2024-03-06 16:00:00,Wednesday
25222522040,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(35),,20.0,,〇,,×,,,×,5000,2024-03-07,,,2024-03-06,4,2024-03-06 16:20:00-->2024-03-06 16:58:00,2024-03-06,〇,×,A,56,38,"5,400","8,000",2024-03-06 16:20:00,2024-03-06 16:58:00,Wednesday
25710722000,FPｼｮｰﾄLT2(15K),,15.0,,〇,,×,,,×,12700,2024-03-11,,,2024-03-06,5,2024-03-06 17:18:00-->2024-03-06 18:54:00,2024-03-08,〇,×,A,127,96,"6,000","8,000",2024-03-06 17:18:00,2024-03-06 18:54:00,Wednesday
25105621000,ﾊﾟﾈﾘ-PV(12),,15.0,,,,×,,,×,6000,2024-03-09,,,2024-03-06,6,2024-03-06 19:14:00-->2024-03-06 19:59:00,2024-03-08,〇,×,A,72,45,"5,000","8,000",2024-03-06 19:14:00,2024-03-06 19:59:00,Wednesday
25280921850,ﾏｲﾙﾄﾞﾌｱﾂﾄDX(M),,15.0,,〇,,×,,〇,×,12700,2024-03-11,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,2024-03-06,7,2024-03-06 20:19:00-->2024-03-06 21:55:00,2024-03-08,〇,○,B,120,96,"6,400","8,000",2024-03-06 20:19:00,2024-03-06 21:55:00,Wednesday
25224621030,ｱﾙｽﾀ-ｼｮｰﾄﾆﾝｸﾞ (3),,15.0,,,,×,,,×,5000,2024-03-07,,,2024-03-07,1,2024-03-07 07:20:00-->2024-03-07 07:58:00,2024-03-07,〇,×,A,69,38,"4,400","8,000",2024-03-07 07:20:00,2024-03-07 07:58:00,Thursday
26611121000,ｸﾗｳﾝﾗ-ﾄﾞ#100K(ﾀﾞﾝ),,15.0,,,,×,,,×,12700,2024-03-07,,,2024-03-07,2,2024-03-07 08:28:00-->2024-03-07 10:04:00,2024-03-07,,×,A,121,96,"6,300","8,000",2024-03-07 08:28:00,2024-03-07 10:04:00,Thursday
26632521020,ｸﾗｳﾝ ﾗ-ﾄﾞ#300(ﾀﾞﾝ),,15.0,,,,×,,,×,6000,2024-03-07,,,2024-03-07,3,2024-03-07 10:24:00-->2024-03-07 11:09:00,2024-03-07,,×,A,60,45,"6,000","8,000",2024-03-07 10:24:00,2024-03-07 11:09:00,Thursday
25566421000,FCｼｮｰﾄﾆﾝｸﾞ,,15.0,,,,×,,,×,12700,2024-03-07,,,2024-03-07,4,2024-03-07 11:39:00-->2024-03-07 13:15:00,2024-03-07,〇,×,A,153,96,"5,000","8,000",2024-03-07 11:39:00,2024-03-07 13:15:00,Thursday
25282821000,ﾘｽｵｲﾙ,,15.0,,,,×,,,×,10000,2024-03-07,,,2024-03-07,5,2024-03-07 13:45:00-->2024-03-07 15:00:00,2024-03-07,,×,A,100,75,"6,000","8,000",2024-03-07 13:45:00,2024-03-07 15:00:00,Thursday
25804921000,MB-ｻﾝﾄﾞｼｮｰﾄDX-TL(M),,15.0,,〇,,×,,,×,25400,2024-03-11,,,2024-03-07,6,2024-03-07 15:20:00-->2024-03-07 18:31:00,2024-03-08,,×,A,254,191,"6,000","8,000",2024-03-07 15:20:00,2024-03-07 18:31:00,Thursday
25804821000,MB-ｻﾝﾄﾞｼｮｰﾄDX-TL(H),,15.0,,〇,,×,,,×,12700,2024-03-11,,,2024-03-07,7,2024-03-07 18:51:00-->2024-03-07 20:27:00,2024-03-08,,×,A,123,96,"6,200","8,000",2024-03-07 18:51:00,2024-03-07 20:27:00,Thursday
25716121850,ｼﾞｴﾐﾆNTR(M),,15.0,,,,○,,,×,10000,2024-03-11,,,2024-03-08,1,2024-03-08 07:20:00-->2024-03-08 08:46:00,2024-03-11,,×,A,0,86,-,"7,000",2024-03-08 07:20:00,2024-03-08 08:46:00,Friday
25761221000,ﾌｱﾝﾄﾑ950N,,15.0,,,,○,,,×,10000,2024-03-11,,,2024-03-08,2,2024-03-08 09:06:00-->2024-03-08 10:26:00,2024-03-11,,×,A,0,80,-,"7,500",2024-03-08 09:06:00,2024-03-08 10:26:00,Friday
25306521830,ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),,10.0,,,,×,,,×,12700,2024-03-09,,,2024-03-08,3,2024-03-08 11:56:00-->2024-03-08 14:18:00,2024-03-08,〇,×,A,189,142,"4,050","5,400",2024-03-08 11:56:00,2024-03-08 14:18:00,Friday
25117722830,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),,15.0,,,,×,,,×,6000,2024-03-11,,,2024-03-08,4,2024-03-08 14:38:00-->2024-03-08 15:23:00,2024-03-11,〇,×,A,60,45,"6,000","8,000",2024-03-08 14:38:00,2024-03-08 15:23:00,Friday
25294121810,ｽﾃｲﾔ-ｽﾍﾟｼﾔﾙ(SS),,15.0,,,準高,×,,〇,×,12700,2024-03-11,,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,2024-03-08,5,2024-03-08 15:43:00-->2024-03-08 17:41:00,2024-03-11,〇,×,A,127,118,"6,000","6,500",2024-03-08 15:43:00,2024-03-08 17:41:00,Friday
25224321030,PVｼｮｰﾄ(B) (3),,15.0,,,準高,×,,,×,12700,2024-03-11,,,2024-03-08,6,2024-03-08 18:01:00-->2024-03-08 19:43:00,2024-03-11,〇,×,A,142,102,"5,400","7,500",2024-03-08 18:01:00,2024-03-08 19:43:00,Friday
25224321030,PVｼｮｰﾄ(B) (3),,15.0,,,準高,×,,,×,12700,2024-03-11,,,2024-03-08,7,2024-03-08 20:03:00-->2024-03-08 21:45:00,2024-03-11,〇,×,A,142,102,"5,400","7,500",2024-03-08 20:03:00,2024-03-08 21:45:00,Friday
25326721000,MCｼｮｰﾄ(F),,15.0,,,,×,〇,,×,24000,2024-03-11,,次ﾊﾞｯﾁｲﾄｳIK-NTを必ず組むこと｡,2024-03-11,1,2024-03-11 07:20:00-->2024-03-11 10:20:00,2024-03-11,〇,×,A,249,180,"5,800","8,000",2024-03-11 07:20:00,2024-03-11 10:20:00,Monday
25244422870,ｲﾄｳIK-NT(H),,15.0,,,,×,,,×,12700,2024-03-11,,,2024-03-11,2,2024-03-11 10:40:00-->2024-03-11 12:16:00,2024-03-11,〇,×,A,153,96,"5,000","8,000",2024-03-11 10:40:00,2024-03-11 12:16:00,Monday
25118721830,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),,15.0,,,,×,,,×,6000,2024-03-11,,,2024-03-11,3,2024-03-11 12:36:00-->2024-03-11 13:21:00,2024-03-11,〇,×,A,63,45,"5,800","8,000",2024-03-11 12:36:00,2024-03-11 13:21:00,Monday
25224321040,PVｼｮｰﾄ(B) (4),,15.0,,,,×,,,×,12700,2024-03-11,,,2024-03-11,4,2024-03-11 13:41:00-->2024-03-11 15:23:00,2024-03-11,〇,×,A,142,102,"5,400","7,500",2024-03-11 13:41:00,2024-03-11 15:23:00,Monday
