繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項,nouki_copy,KI,SP_rate/hr,SP_time_taken,SV_rate/hr,SV_time_taken,slot,ライン,備考,流速,生産日,順番
,,25719121850,15.0,12700,2024-03-01,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,,,,,,,,,〇,,〇,,,,,○,,2024-02-29,×,"6,000",0.0,"5,000",153.0,,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121850,15.0,12700,2024-04-18,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,,,,,,,,,〇,,〇,,,,,○,,2024-04-17,×,"6,000",0.0,"5,000",153.0,,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121850,15.0,12700,2024-04-10,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,,,,,,,,,〇,,〇,,,,,○,,2024-04-09,×,"6,000",0.0,"5,000",153.0,,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121850,15.0,12700,2024-04-22,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,,,,,,,,,〇,,〇,,,,,○,,2024-04-19,×,"6,000",0.0,"5,000",153.0,,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121850,15.0,12700,2024-05-20,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,,,,,,,,,〇,,〇,,,,,○,,2024-05-17,×,"6,000",0.0,"5,000",153.0,,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121850,15.0,12700,2024-05-27,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,,,,,,,,,〇,,〇,,,,,○,,2024-05-24,×,"6,000",0.0,"5,000",153.0,,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25729012000,16.0,12200,2024-02-29,,ｱｲｽ ﾌｱﾂﾄ ﾐﾂｸｽ (F),,,,,,,,,,,,,低,,,×,,2024-02-29,×,"5,500",134.0,-,0.0,,,,,,
,,25729012000,16.0,9000,2024-03-30,,ｱｲｽ ﾌｱﾂﾄ ﾐﾂｸｽ (F),,,,,,,,,,,,,低,,,×,,2024-03-29,×,"5,500",99.0,-,0.0,,,,,,
,,25729012000,16.0,12200,2024-05-10,,ｱｲｽ ﾌｱﾂﾄ ﾐﾂｸｽ (F),,,,,,,,,,,,,低,,,×,,2024-05-10,×,"5,500",134.0,-,0.0,,,,,,
,,25299921030,15.0,6000,2024-02-19,,PVｼｮｰﾄ(B)-AK(3),,,,,,,,,,,,,準高,,,×,,2024-02-19,×,"5,100",0.0,"8,000",45.0,,,,,,
,,25299921030,15.0,6000,2024-02-17,,PVｼｮｰﾄ(B)-AK(3),,,,,,,,,,,,,準高,,,×,,2024-02-16,×,"5,100",0.0,"8,000",45.0,,,,,,
,,25299921040,15.0,12700,2024-02-29,,PVｼｮｰﾄ(B)-AK(4),,,,,,,,,,,,,,,,×,,2024-02-29,×,"5,100",0.0,"8,000",96.0,,,,,,
,,25299921040,15.0,12700,2024-03-25,,PVｼｮｰﾄ(B)-AK(4),,,,,,,,,,,,,,,,×,,2024-03-25,×,"5,100",0.0,"8,000",96.0,,,,,,
,,25299921040,15.0,12700,2024-04-16,,PVｼｮｰﾄ(B)-AK(4),,,,,,,,,,,,,,,,×,,2024-04-16,×,"5,100",0.0,"8,000",96.0,,,,,,
,,25716121850,15.0,10000,2024-02-10,,ｼﾞｴﾐﾆNTR(M),,,,,,,,,,,,,,,,×,,2024-02-09,○,-,0.0,"7,000",86.0,,,,,,
,,25716121850,15.0,10000,2024-02-17,,ｼﾞｴﾐﾆNTR(M),,,,,,,,,,,,,,,,×,,2024-02-16,○,-,0.0,"7,000",86.0,,,,,,
,,25126221000,15.0,12700,2024-02-22,,ｽﾃｲﾔ-SA,,,,,,,,,〇,,,,高,,,×,,2024-02-22,×,"6,000",0.0,"6,500",118.0,,,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,,,
,,25126221000,15.0,12700,2024-04-03,,ｽﾃｲﾔ-SA,,,,,,,,,〇,,,,高,,,×,,2024-04-03,×,"6,000",0.0,"6,500",118.0,,,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,,,
,,25126221000,15.0,12700,2024-04-15,,ｽﾃｲﾔ-SA,,,,,,,,,〇,,,,高,,,×,,2024-04-15,×,"6,000",0.0,"6,500",118.0,,,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,,,
,,25126221000,15.0,12700,2024-04-30,,ｽﾃｲﾔ-SA,,,,,,,,,〇,,,,高,,,×,,2024-04-30,×,"6,000",0.0,"6,500",118.0,,,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,,,
,,25126221000,15.0,12700,2024-05-23,,ｽﾃｲﾔ-SA,,,,,,,,,〇,,,,高,,,×,,2024-05-23,×,"6,000",0.0,"6,500",118.0,,,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,,,
