品目コード,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項
25710722000,FPｼﾖ-ﾄLT2(15K),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25711121340,ﾓ-ｾﾞﾙBU(34℃),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
25711121360,ﾓ-ｾﾞﾙBU(36℃),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
25711121380,ﾓ-ｾﾞﾙBU(38℃),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
25716121850,ｼﾞｴﾐﾆNTR(M),15,C/S,〇,"7,000",×,-,A,,,○,,,,,×,×,
25716121870,ｼﾞｴﾐﾆNTR(H),15,C/S,〇,"7,000",×,-,A,,,○,,,,,×,×,
25719121850,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,15,C/S,〇,"5,000",〇,"6,000",A,,〇,×,〇,〇,,,○,○,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能。
25719121870,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,15,C/S,〇,"5,000",〇,"6,000",A,,〇,×,〇,〇,,,○,○,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能。
25719621850,AKK-Ⅱ(M),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,,低,,×,×,
25719621870,AKK-Ⅱ(H),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,,低,,×,×,
25719721810,ﾊｲﾌｴ-ﾄﾞ(SS),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,,,,×,×,
25719721830,ﾊｲﾌｴ-ﾄﾞ(S),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,,,,×,×,
25719721850,ﾊｲﾌｴ-ﾄﾞ(M),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,,低,,×,×,
25723121000,ﾘｽｵｲﾙ#100-SL,15,C/S,〇,"8,000",〇,"6,000",A,,,×,,,,,×,×,
25729012000,ｱｲｽ ﾌｱﾂﾄ ﾐﾂｸｽ (F),16,CAN,×,-,〇,"5,500",A,,,×,,,低,,×,×,
25747111000,SBｵｲﾙR,16,CAN,〇,"7,500",〇,"6,300",A,,,×,,,,,×,×,
25761221000,ﾌｱﾝﾄﾑ950N,15,C/S,〇,"7,500",×,-,A,,,○,,,,,×,×,
25763321000,ﾌｧﾝﾄﾑ915** DIR,15,C/S,〇,"7,500",×,-,A,,,○,,,,,×,×,
25763322000,ﾌｱﾝﾄﾑ915,15,C/S,〇,"7,500",×,-,A,,,○,,,,,×,×,
25764721000,ﾌｧﾝﾄﾑBT2,15,C/S,〇,"7,500",×,-,A,,,○,,,,,×,×,
25767921000,ｼﾞｴﾐﾆN,15,C/S,〇,"7,500",×,-,A,,,○,,,,,×,×,
25768421000,ﾌｱﾝﾄﾑG920,20,C/S,〇,"8,000",×,-,A,,,○,,,,,×,×,
25770921000,ﾌｱﾝﾄﾑ907,15,C/S,〇,"8,000",×,-,A,,,○,,,,,×,×,
25773621000,ｱﾙﾄﾜCBE-NTR-Ⅱ,15,C/S,〇,6600,×,-,A,,,○,,,,,,,
25800111000,MB-SBｵｲﾙNTV(缶),16,CAN,〇,"8,000",〇,"5,800",A,,,×,,,,,×,×,
25800311000,MB-ｱﾒﾘｶ-ﾅDX-TL,16,CAN,〇,"7,500",〇,"5,800",A,,,×,,,,,×,×,
25800421830,MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),15,C/S,〇,"8,000",〇,"6,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25800421850,MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(M),15,C/S,〇,"8,000",〇,"6,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25800421870,MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),15,C/S,〇,"8,000",〇,"6,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25800429830,MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),15,C/S,〇,"8,000",〇,"6,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25800811000,MB-Mcﾌﾗｲｵｲﾙ,16,CAN,〇,"7,700",〇,"7,000",A,,,×,,,,,×,×,
25802121000,MB-ｸﾂｷ-ﾄNT-K3,15,C/S,〇,"8,000",〇,"4,900",A,,,×,,〇,,,×,×,
25802621870,MB-ﾚｶﾞ-ﾁｴ(H),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,,低,,×,×,
25804121000,MB-BSｸﾘ-ﾑ-3(16.5K),16.5,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25804221000,MB-G100G-3,20,C/S,〇,"8,000",×,-,A,,,○,,,,,×,×,
25804222000,MB-G100G-3(15K),20,C/S,〇,"8,000",×,-,A,,,○,,,,,×,×,
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),15,C/S,〇,"8,000",〇,"6,200",A,,,×,〇,,,,×,×,
25804921000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(M),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,,,,×,×,
25805121000,MB-ﾓ-ｾﾞﾙSC,15,C/S,〇,8000,×,-,A,,,×,〇,,高,,,,
25888811000,SBｵｲﾙV,16,CAN,〇,"7,500",〇,"5,600",A,,,×,,,,,×,×,
26611111000,ｸﾗｳﾝﾗ-ﾄﾞ #100K,15,CAN,〇,"8,000",〇,"6,100",A,,,×,,,,,×,×,
26611121000,ｸﾗｳﾝﾗ-ﾄﾞ#100K(ﾀﾞﾝ),15,C/S,〇,"8,000",〇,"6,300",A,,,×,,,,,×,×,
26611129000,ｸﾗｳﾝﾗ-ﾄﾞ#100K(ﾀﾞﾝ).S,15,C/S,〇,"8,000",〇,"6,300",A,,,×,,,,,×,×,
26611311000,ｺﾞ-ﾙﾄﾞｸﾗｳﾝ DX,15,CAN,〇,"7,500",〇,"6,000",A,,,×,,,,,×,×,
26631111050,ｸﾗｳﾝﾗ-ﾄﾞ#300 DIR,15,CAN,〇,"7,500",〇,"6,000",A,,,×,,,,,×,×,
26631111060,ｸﾗｳﾝﾗ-ﾄﾞ#300 DIR,15,CAN,〇,"7,500",〇,"6,000",A,,,×,,,,,×,×,
26631111070,ｸﾗｳﾝﾗ-ﾄﾞ#300 DIR,15,CAN,〇,"7,500",〇,"6,000",A,,,×,,,,,×,×,
26631211000,ｸﾗｳﾝﾗ-ﾄﾞ#300(A),15,CAN,〇,"7,500",〇,"6,100",A,,,×,,,,,×,×,
26631411000,ｺﾞ-ﾙﾄﾞﾘﾝｸﾞ NO.300,15,CAN,〇,"7,500",〇,"6,200",A,,,×,,,,,×,×,
26632521020,ｸﾗｳﾝ ﾗ-ﾄﾞ#300(ﾀﾞﾝ),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,,,,×,×,
26632521030,ｸﾗｳﾝ ﾗ-ﾄﾞ#300(ﾀﾞﾝ),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,,,,×,×,
26632521040,ｸﾗｳﾝ ﾗ-ﾄﾞ#300(ﾀﾞﾝ),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,,,,×,×,
26632913000,ｸﾗｳﾝﾗ-ﾄﾞ(NF),15,CAN,〇,"7,500",〇,"6,300",A,,,×,,,,,×,×,
26713812000,ｱｳﾄﾊﾞﾂｸｼﾖ-ﾄﾆﾝｸﾞ,15,CAN,〇,"7,500",〇,"6,100",A,,,×,,,,,×,×,
348620ZT,PC-1ﾀﾞｯｼｭｳﾕ(ﾀﾞﾝ)ｱｶｼ,15,C/S,〇,7000,×,-,A,,,○,,,,,,,
348653ZV,ﾀﾞｯｼｭｳPEF209(ﾀﾞﾝ),20,C/S,〇,8000,×,-,B,,○,×,,,,,,,
348654ZV,ﾀﾞｯｼｭｳPEF274(ﾀﾞﾝ),20,C/S,〇,8000,×,-,B,,○,×,,,,,,,
348656ZT,ｱﾃﾞｶﾙｰﾌﾞAM,15,CAN,〇,7000,×,-,A,,,×,,〇,,,,,
348657ZT,ｱﾃﾞｶﾙｰﾌﾞN-TL,15,CAN,〇,7500,×,-,A,,,×,,〇,,,,,
348999PT,MB-PｼｮｰﾄCF(H)ｱｶｼｹﾞﾝ,15,C/S,〇,8000,〇,"5,000",A,〇,,×,,〇,,,,,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
349757ZT,ｹﾞﾝ)PCﾀﾞﾂｼﾕｳﾕ(ｱｶｼﾑｹ),15,C/S,〇,8000,×,-,A,,,○,,,,,,,
