品目コード,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項
25212222870,ﾁｴｽﾀ-88-TL(H),15,C/S,〇,"5,400",〇,"6,000",A,,,×,〇,〇,,,×,×,
25212521030,ｼﾖ-ﾄﾆﾝｸﾞFJP DIR(3),15,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25212711000,ﾓ-ｾﾞﾙｿﾌﾄ-TL,15,CAN,〇,"7,500",〇,"4,200",A,,,×,〇,,準高,,×,×,
25213124030,ﾁｴｽﾀ- 88(12.7K)(3),12.7,C/S,〇,"6,800",〇,"6,000",A,,,×,〇,〇,,,×,×,
25213124040,ﾁｴｽﾀ- 88(12.7K)(4),12.7,C/S,〇,"6,800",〇,"6,000",A,,,×,〇,〇,,,×,×,
25213124050,ﾁｴｽﾀ- 88(12.7K)(5),12.7,C/S,〇,"6,800",〇,"6,000",A,,,×,〇,〇,,,×,×,
25213221810,ﾁｴｽﾀ-77(S),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25213221830,ﾁｴｽﾀ-77(M),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25213221850,ﾁｴｽﾀ-77(H),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25215821000,S.T ｼﾖ-ﾄ,15,C/S,〇,"6,500",〇,"5,500",A,,〇,×,,〇,,,×,×,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA
25217621330,ｻﾝﾄﾞｼﾖ-ﾄNT (33ﾟC),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
25217621360,ｻﾝﾄﾞｼﾖ-ﾄNT (36ﾟC),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
25217621380,ｻﾝﾄﾞｼﾖ-ﾄNT (38ﾟC),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
25217722000,ﾁｪｽﾀ-LPV-TL2(18K),18,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,底パッド敷あり。公出時生産不可。
25217723000,ﾁｪｽﾀ-LPV-TL2(16.6K),16.6,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,底パッド敷あり。公出時生産不可。
25217922850,AP-1 (M),18.8,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,,,,×,×,
25220221000,ｼｮ-ﾄﾆﾝｸﾞCC,15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25220421830,TRｼｮ-ﾄSEJ2(S),15,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25220821830,PVｼﾖ-ﾄ(B)-L (S),15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25221521030,ﾆﾕ-ｼﾖ-ﾄ (C) (3),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,準高,,×,×,
25221521040,ﾆﾕ-ｼﾖ-ﾄ (C) (4),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,準高,,×,×,
25221521050,ﾆﾕ-ｼﾖ-ﾄ (C) (5),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25221521060,ﾆﾕ-ｼﾖ-ﾄ (C) (6),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25221521070,ﾆﾕ-ｼﾖ-ﾄ (C) (7),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25221522030,ﾆﾕ-ｼﾖ-ﾄ (C)DIR (3),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,準高,,×,×,
25221522040,ﾆﾕ-ｼﾖ-ﾄ (C)DIR (4),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,準高,,×,×,
25221522050,ﾆﾕ-ｼﾖ-ﾄ (C)DIR (5),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25221522060,ﾆﾕ-ｼﾖ-ﾄ (C)DIR (6),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25221522070,ﾆﾕ-ｼﾖ-ﾄ (C)DIR (7),20,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25221523030,ﾆﾕ-ｼﾖ-ﾄ(C)10K(3),10,C/S,〇,"5,400",〇,"4,100",A,,,×,,〇,準高,,×,×,
25221523040,ﾆﾕ-ｼﾖ-ﾄ(C)10K(4),10,C/S,〇,"5,400",〇,"4,100",A,,,×,,〇,準高,,×,×,
25221523050,ﾆﾕ-ｼﾖ-ﾄ(C)10K(5),10,C/S,〇,"5,400",〇,"4,100",A,,,×,,〇,,,×,×,
25221523060,ﾆﾕ-ｼﾖ-ﾄ(C)10K(6),10,C/S,〇,"5,400",〇,"4,100",A,,,×,,〇,,,×,×,
25221523070,ﾆﾕ-ｼﾖ-ﾄ(C)10K(7),10,C/S,〇,"5,400",〇,"4,100",A,,,×,,〇,,,×,×,
25222122030,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ(3),15,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,準高,,×,×,
25222122040,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ(4),15,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25222122050,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ(5),15,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25222122060,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ(6),15,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25222123030,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(3),20,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,準高,,×,×,
25222123040,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25222123050,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(5),20,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25222522030,ﾊﾟﾈﾘ-ｼﾖ-ﾄST-2-TL(32),20,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,
25222522040,ﾊﾟﾈﾘ-ｼﾖ-ﾄST-2-TL(35),20,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,
25222522060,ﾊﾟﾈﾘ-ｼﾖ-ﾄST-2-TL(38),20,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,
25223311000,ｱﾒﾘｶ-ﾅDX-TL,16,CAN,〇,"5,400",〇,"5,800",A,,,×,,,,,×,×,
25223325020,ｱﾒﾘｶ-ﾅDX-TL,10,C/S,〇,"5,400",〇,"5,400",A,〇,,×,,,,,×,×,
25224021000,ABｼﾖ-ﾄ(PM),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25224122020,ｱﾒﾘｶ-ﾅV,10,C/S,〇,"5,400",〇,"5,400",A,,,×,,,,,×,×,
25224321030,PVｼﾖ-ﾄ(B) (3),15,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,準高,,×,×,
25224321040,PVｼﾖ-ﾄ(B) (4),15,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
25224321050,PVｼﾖ-ﾄ(B) (5),15,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
25224321060,PVｼﾖ-ﾄ(B) (6),15,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
25224329030,PVｼﾖ-ﾄ(B) DIR (3),15,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,準高,,×,×,
25224329040,PVｼﾖ-ﾄ(B) DIR (4),15,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
25224329050,PVｼﾖ-ﾄ(B) DIR (5),15,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
25224621030,ｱﾙｽﾀ-ｼﾖ-ﾄﾆﾝｸﾞ (3),15,C/S,〇,"8,000",〇,"4,400",A,,,×,,〇,,,×,×,
25225523030,ICｼﾖ-ﾄ 12K(3),12,C/S,〇,"6,500",〇,"6,000",A,,,×,,〇,,,×,×,
25225523040,ICｼﾖ-ﾄ 12K(4),12,C/S,〇,"6,500",〇,"6,000",A,,,×,,〇,,,×,×,
25225621850,PVｼﾖ-ﾄEG(M),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25225621870,PVｼﾖ-ﾄEG(H),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25226125020,ｱﾒﾘｶ-ﾅDX*(15K),15,C/S,〇,"8,000",〇,"5,800",A,,,×,,,,,×,×,
25226126020,ｱﾒﾘｶｰﾅDX*(15K)DIR,15,C/S,〇,"8,000",〇,"5,800",A,,,×,,,,,×,×,
25230924830,ﾁｴｽﾀ-2000 10K (S),10,C/S,〇,"5,400",〇,"4,800",A,,,×,〇,〇,,,×,×,
25230924850,ﾁｴｽﾀ-2000 10K (M),10,C/S,〇,"5,400",〇,"4,800",A,,,×,〇,〇,,,×,×,
25230924870,ﾁｴｽﾀ-2000 10K (H),10,C/S,〇,"5,400",〇,"4,800",A,,,×,〇,〇,,,×,×,
25230924890,ﾁｴｽﾀ-2000 10K (HH),10,C/S,〇,"5,400",〇,"4,800",A,,,×,〇,〇,,,×,×,
25230925870,ﾁｴｽﾀ-2000 10K(H),10,C/S,〇,"5,400",〇,"4,800",A,,,×,〇,〇,,,×,×,
25232924850,NCｼﾖ-ﾄ(DIR)(M),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25240621830,ﾁｴｽﾀ-77KA (S),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25240621850,ﾁｴｽﾀ-77KA (M),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25240621870,ﾁｴｽﾀ-77KA (H),15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25244422850,ｲﾄｳIK-NT(M),15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25244422870,ｲﾄｳIK-NT(H),15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25244821000,ﾊｲﾒﾛ-ｼｮ-ﾄLT-2,15,C/S,〇,"8,000",〇,"5,500",A,,,×,〇,,,,×,×,
25244822000,ﾊｲﾒﾛ-ｼﾖ-ﾄLT-2(DIR),15,C/S,〇,"8,000",〇,"5,500",A,,,×,〇,,,,×,×,
25245322000,ｲﾄｳCC-NT,15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25245322870,ｲﾄｳCC-NT(H),15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25249921000,ﾊﾟﾈﾘ-PV(13),15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25257021830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄHMO(S),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25259011750,ﾌﾗｲｵｲﾙY(15K)(Y-10),15,CAN,〇,"7,500",〇,"6,000",A,,,×,,,,,×,×,
25262121030,MTｼﾖ-ﾄPV(3),15,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25262121040,MTｼﾖ-ﾄPV(4),15,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25262121050,MTｼﾖ-ﾄPV(5),15,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25270421830,MBｼﾖ-ﾄN(S),15,C/S,〇,"8,000",〇,"6,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25270521000,ﾌｱﾝﾄﾑ1050,15,C/S,〇,"7,500",×,-,A,,,○,,,,,×,×,
25271711000,RPｼﾖ-ﾄ,13,CAN,〇,"7,500",〇,"4,200",A,,,×,〇,,,,×,×,
25272711000,ﾌﾗｲｵｲﾙ-MK,15,CAN,〇,"7,500",〇,"5,400",A,,,×,,,,,×,×,
25274621000,COｼﾖ-ﾄﾆﾝｸﾞ-DX,18,C/S,〇,"8,000",〇,"5,000",A,,,×,,,低,,×,×,底パッド敷あり。公出時生産不可。
25278021870,ﾊｲDXﾌｱﾂﾄ(H),15,C/S,〇,"8,000",〇,"5,800",A,,〇,×,〇,〇,,,○,×,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能。
25279022000,ﾌﾗｲｵｲﾙ-R(15Kﾀﾞﾝ),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,,,,×,×,
25280921830,ﾏｲﾙﾄﾞﾌｱﾂﾄDX(S),15,C/S,〇,"8,000",〇,"6,400",B,,〇,×,〇,〇,,,○,×,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能。
25280921850,ﾏｲﾙﾄﾞﾌｱﾂﾄDX(M),15,C/S,〇,"8,000",〇,"6,400",B,,〇,×,〇,〇,,,○,×,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能。
25281921000,ｱﾙﾄﾜCBE-NTR,15,C/S,〇,"6,600",×,-,A,,,○,,,,,×,×,
25282821000,ﾘｽｵｲﾙ,15,C/S,〇,"8,000",〇,"6,000",A,,,×,,,,,×,×,
25284921850,ﾁｴｽﾀ- EF(M),10,C/S,〇,"5,400",〇,"4,800",A,,,×,,〇,,,×,×,
25286621830,EZｼﾖ-ﾄﾆﾝｸﾞ(S),15,C/S,〇,"6,000",〇,"4,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25286621870,EZｼﾖ-ﾄﾆﾝｸﾞ(H),15,C/S,〇,"6,000",〇,"4,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25294121810,ｽﾃｲﾔ-ｽﾍﾟｼﾔﾙ(SS),15,C/S,〇,"6,500",〇,"6,000",A,,〇,×,,〇,準高,,×,×,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA
25294121830,ｽﾃｲﾔ-ｽﾍﾟｼﾔﾙ(S),15,C/S,〇,"6,500",〇,"6,000",A,,〇,×,,〇,準高,,×,×,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA
25299021000,ｼｮ-ﾄﾆﾝｸﾞLO-T2,15,C/S,〇,"8,000",〇,"6,000",A,,,×,,,,,×,×,
25299921030,PVｼﾖ-ﾄ(B)-AK(3),15,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,準高,,×,×,
25299921040,PVｼﾖ-ﾄ(B)-AK(4),15,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25299921050,PVｼﾖ-ﾄ(B)-AK(5),15,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
25303521000,ﾄﾞ-ﾅﾂｵｲﾙ-IT,10,C/S,〇,"5,400",〇,"5,400",A,,,×,,,,,×,×,
25304421000,PVｼﾖ-ﾄRE,15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25305711000,ﾎﾞﾂｸｽｵｲﾙSP,15,CAN,〇,"7,500",〇,"4,200",A,,,×,,,高,,×,×,
25305711030,ﾎﾞﾂｸｽｵｲﾙSP,15,CAN,〇,"7,500",〇,"4,200",A,,,×,,,高,,×,×,
25306211000,EZﾌﾗｲｵｲﾙ,13,CAN,〇,"6,000",〇,"6,000",A,,,×,,〇,,,×,×,
25306521830,ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),10,C/S,〇,"5,400",〇,"4,050",A,,,×,,〇,,,×,×,
25308522830,LTｼﾖ-ﾄﾆﾝｸﾞ(19.2K)(S),19.2,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25316621830,ｻｸｻｸｼﾖ-ﾄﾆﾝｸﾞY(S),10,C/S,〇,"5,400",〇,"4,050",A,,,×,,〇,,,×,×,
25316621870,ｻｸｻｸｼﾖ-ﾄﾆﾝｸﾞY(H),10,C/S,〇,"5,400",〇,"4,050",A,,,×,,〇,,,×,×,
25317521870,ｼﾖ-ﾄﾆﾝｸﾞYA-III(H),15,C/S,〇,"8,000",〇,"6,000",A,〇,,×,,,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25318821000,ｱ-ﾈｽﾄ,15,C/S,〇,"7,500",×,-,A,,,○,,,,,×,×,
25320311000,ｱﾒﾘｶ-ﾅ-SP,15,CAN,〇,"7,000",〇,"5,600",A,,,×,,,,,×,×,
25324421810,ｽﾃｲﾔ-ｼﾖ-ﾄ(SS),15,C/S,〇,"6,500",〇,"6,000",A,,〇,×,,〇,準高,,×,×,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA
25325821000,ﾃﾞﾘﾌﾟﾗﾝﾂ ｺｸﾌｱﾂﾄ,15,C/S,〇,"7,000",〇,"6,000",A,,,×,,,,,×,×,翌日、IC-NKの生産を必ず組む
25325822000,ﾃﾞﾘﾌﾟﾗﾝﾂ ｺｸﾌｱﾂﾄ,15,C/S,〇,"7,000",〇,"6,000",A,,,×,,,,,×,×,翌日、IC-NKの生産を必ず組む
25326521000,ﾊﾟﾈﾘ-PV(F),15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25326721000,MCｼﾖ-ﾄ(F),15,C/S,〇,"8,000",〇,"5,800",A,〇,,×,,〇,,2,×,×,次ﾊﾞｯﾁｲﾄｳIK-NTを必ず組むこと。
25326911000,冷蔵KMｼﾖ-ﾄﾆﾝｸﾞ,15,CAN,〇,"7,500",〇,"6,000",A,,,×,〇,,高,,×,×,
25328721000,COｼｮｰﾄﾆﾝｸﾞ,20,C/S,〇,"8,000",〇,"6,000",A,,,×,,,,,×,×,底パッド敷あり。公出時生産不可。
25329221830,YKｼｮｰﾄﾆﾝｸﾞ(S),15,C/S,〇,"8,000",〇,"6,000",A,〇,,×,,〇,,,×,×,
25330311000,ｼﾞｪﾈｼｽL,15,CAN,〇,"7,500",〇,"6,400",A,,〇,×,,,,,×,×,副原料多い。3回洗い
25331321850,MB-ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ(M),15,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25331521000,ﾊﾟﾈﾘｰ2024,15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25351521000,MCｼｮ-ﾄ(12),15,C/S,〇,"8,000",〇,"5,800",A,〇,,×,,〇,,2,×,×,次ﾊﾞｯﾁｲﾄｳIK-NTを必ず組むこと。
25352121000,ｱｸｼｱ-R,10,C/S,〇,"5,400",〇,"5,400",A,,,×,,〇,,,×,×,
25555511000,SBｵｲﾙZ,16,CAN,〇,"8,000",〇,"6,300",A,,,×,,,,,×,×,
25566111000,MB-A&C-N(缶),16,CAN,〇,-,〇,"5,300",A,〇,,×,,〇,,,×,×,
25566421000,FCショートニング,15,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25566512000,ｸﾗｳﾝﾗｰﾄﾞ#600,15,CAN,〇,"7,500",〇,"6,200",A,,,×,,,,,×,×,
25612911000,CAC-LT,16,CAN,〇,-,〇,"5,500",A,,〇,×,,,,,×,×,
25710021000,RMB-FPｼｮｰﾄLT2(15K),15,C/S,〇,8000,〇,"6,000",A,,,×,〇,〇,,,×,×,
25710721000,FPｼｮ-ﾄLT2,15,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,○,
