繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項,nouki_copy,KI,SP_time_taken,SV_time_taken,slot,チケットNO,ライン,予定数量,備考,流速,生産日,順番
,,25719121850,15.0,,2024-04-10,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,,,,,,,,,〇,,〇,,,,,○,,2024-04-09,×,153.0,153.0,,,,12700.0,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121850,15.0,,2024-04-22,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,,,,,,,,,〇,,〇,,,,,○,,2024-04-19,×,153.0,153.0,,,,12700.0,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121850,15.0,,2024-05-20,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,,,,,,,,,〇,,〇,,,,,○,,2024-05-17,×,153.0,153.0,,,,12700.0,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121850,15.0,,2024-05-27,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,,,,,,,,,〇,,〇,,,,,○,,2024-05-24,×,153.0,153.0,,,,12700.0,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25729012000,16.0,,2024-02-29,,ｱｲｽ ﾌｱﾂﾄ ﾐﾂｸｽ (F),,,,,,,,,,,,,低,,,×,,2024-02-29,×,153.0,0.0,,,,6100.0,,,,
,,25729012000,16.0,,2024-02-29,,ｱｲｽ ﾌｱﾂﾄ ﾐﾂｸｽ (F),,,,,,,,,,,,,低,,,×,,2024-02-29,×,153.0,0.0,,,,6100.0,,,,
,,25729012000,16.0,,2024-03-30,,ｱｲｽ ﾌｱﾂﾄ ﾐﾂｸｽ (F),,,,,,,,,,,,,低,,,×,,2024-03-29,×,153.0,0.0,,,,4500.0,,,,
,,25729012000,16.0,,2024-03-30,,ｱｲｽ ﾌｱﾂﾄ ﾐﾂｸｽ (F),,,,,,,,,,,,,低,,,×,,2024-03-29,×,153.0,0.0,,,,4500.0,,,,
,,25729012000,16.0,,2024-05-10,,ｱｲｽ ﾌｱﾂﾄ ﾐﾂｸｽ (F),,,,,,,,,,,,,低,,,×,,2024-05-10,×,153.0,0.0,,,,6100.0,,,,
,,25729012000,16.0,,2024-05-10,,ｱｲｽ ﾌｱﾂﾄ ﾐﾂｸｽ (F),,,,,,,,,,,,,低,,,×,,2024-05-10,×,153.0,0.0,,,,6100.0,,,,
,,25299921030,15.0,,2024-02-19,,PVｼｮｰﾄ(B)-AK(3),,,,,,,,,,,,,準高,,,×,,2024-02-19,×,45.0,45.0,,,,6000.0,,,,
,,25299921040,15.0,,2024-02-29,,PVｼｮｰﾄ(B)-AK(4),,,,,,,,,,,,,,,,×,,2024-02-29,×,96.0,96.0,,,,12700.0,,,,
,,25299921040,15.0,,2024-03-25,,PVｼｮｰﾄ(B)-AK(4),,,,,,,,,,,,,,,,×,,2024-03-25,×,96.0,96.0,,,,12700.0,,,,
,,25299921040,15.0,,2024-04-16,,PVｼｮｰﾄ(B)-AK(4),,,,,,,,,,,,,,,,×,,2024-04-16,×,96.0,96.0,,,,12700.0,,,,
,,25716121850,15.0,,2024-02-17,,ｼﾞｴﾐﾆNTR(M),,,,,,,,,,,,,,,,×,,2024-02-16,○,0.0,86.0,,,,10000.0,,,,
,,25126221000,15.0,,2024-02-22,,ｽﾃｲﾔ-SA,,,,,,,,,〇,,,,高,,,×,,2024-02-22,×,118.0,118.0,,,,12700.0,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,,,
,,25126221000,15.0,,2024-04-03,,ｽﾃｲﾔ-SA,,,,,,,,,〇,,,,高,,,×,,2024-04-03,×,118.0,118.0,,,,12700.0,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,,,
,,25126221000,15.0,,2024-04-15,,ｽﾃｲﾔ-SA,,,,,,,,,〇,,,,高,,,×,,2024-04-15,×,118.0,118.0,,,,12700.0,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,,,
