品目コード,品名,ライン,荷姿,入目,流速,テンパリング,沃素価,KI製品,初回限定,最終限定,リパック,予定数量(㎏),納期,チケットＮＯ,備考,生産日,順番,slot,nouki_copy,窒素ガス,MO-7S配合,アレルゲン,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,start,end,day
25222522060,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),,C/S,20.0,,〇,,×,,,×,5000,2024-03-07,,,2024-03-05,4,2024-03-05 16:18:00-->2024-03-05 16:56:00,2024-03-05,〇,×,A,0,38,"5,400","8,000",2024-03-05 16:18:00,2024-03-05 16:56:00,Tuesday
25244822000,ﾊｲﾒﾛ-ｼｮｰﾄLT-2(DIR),,C/S,15.0,,〇,,×,,,×,12700,2024-03-06,,,2024-03-05,5,2024-03-05 17:26:00-->2024-03-05 19:02:00,2024-03-05,,×,A,0,96,"5,500","8,000",2024-03-05 17:26:00,2024-03-05 19:02:00,Tuesday
25804921000,MB-ｻﾝﾄﾞｼｮｰﾄDX-TL(M),,C/S,15.0,,〇,,×,,,×,12700,2024-03-06,,,2024-03-05,6,2024-03-05 19:22:00-->2024-03-05 20:58:00,2024-03-05,,×,A,0,96,"6,000","8,000",2024-03-05 19:22:00,2024-03-05 20:58:00,Tuesday
25132325830,ﾌﾟﾚﾐｱﾑｼｮｰﾄCF 10K(S),,C/S,10.0,,,,×,〇,,×,12700,2024-03-07,,副原料無添,2024-03-06,1,2024-03-06 07:20:00-->2024-03-06 09:42:00,2024-03-07,〇,×,A,0,142,"5,400","5,400",2024-03-06 07:20:00,2024-03-06 09:42:00,Wednesday
25800421870,MB-ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),,C/S,15.0,,,,×,〇,,×,12700,2024-03-07,,副原料無添,2024-03-06,2,2024-03-06 10:02:00-->2024-03-06 11:38:00,2024-03-07,〇,×,A,0,96,"6,000","8,000",2024-03-06 10:02:00,2024-03-06 11:38:00,Wednesday
25244422870,ｲﾄｳIK-NT(H),,C/S,15.0,,,,×,,,×,12700,2024-03-06,,,2024-03-06,3,2024-03-06 11:58:00-->2024-03-06 13:34:00,2024-03-06,〇,×,A,0,96,"5,000","8,000",2024-03-06 11:58:00,2024-03-06 13:34:00,Wednesday
25217722000,ﾁｪｽﾀ-LPV-TL2(18K),,C/S,18.0,,〇,,×,,,×,12700,2024-03-09,,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡,2024-03-06,4,2024-03-06 13:54:00-->2024-03-06 15:30:00,2024-03-08,〇,×,A,0,96,"6,000","8,000",2024-03-06 13:54:00,2024-03-06 15:30:00,Wednesday
25224021000,ABｼｮｰﾄ(PM),,C/S,15.0,,〇,,×,,,×,12700,2024-03-09,,,2024-03-06,5,2024-03-06 15:50:00-->2024-03-06 17:26:00,2024-03-08,〇,×,A,0,96,"6,000","8,000",2024-03-06 15:50:00,2024-03-06 17:26:00,Wednesday
25230924830,ﾁｴｽﾀ-2000 10K (S),,C/S,10.0,,〇,,×,,,×,6000,2024-03-11,,,2024-03-06,6,2024-03-06 17:46:00-->2024-03-06 18:53:00,2024-03-08,〇,×,A,0,67,"4,800","5,400",2024-03-06 17:46:00,2024-03-06 18:53:00,Wednesday
25719721850,ﾊｲﾌｴ-ﾄﾞ(M),,C/S,15.0,,,低,×,,,×,4500,2024-03-09,,,2024-03-06,7,2024-03-06 19:23:00-->2024-03-06 19:57:00,2024-03-08,,×,A,0,34,"6,000","8,000",2024-03-06 19:23:00,2024-03-06 19:57:00,Wednesday
25318821000,ｱ-ﾈｽﾄ,,C/S,15.0,,,,○,,,×,28500,2024-03-09,,,2024-03-07,1,2024-03-07 07:20:00-->2024-03-07 11:08:00,2024-03-08,,×,A,0,228,-,"7,500",2024-03-07 07:20:00,2024-03-07 11:08:00,Thursday
25716121870,ｼﾞｴﾐﾆNTR(H),,C/S,15.0,,,,○,,,×,10000,2024-03-09,,,2024-03-07,2,2024-03-07 11:28:00-->2024-03-07 12:54:00,2024-03-08,,×,A,0,86,-,"7,000",2024-03-07 11:28:00,2024-03-07 12:54:00,Thursday
25224621030,ｱﾙｽﾀ-ｼｮｰﾄﾆﾝｸﾞ (3),,C/S,15.0,,,,×,,,×,5000,2024-03-07,,,2024-03-07,3,2024-03-07 14:24:00-->2024-03-07 15:02:00,2024-03-07,〇,×,A,0,38,"4,400","8,000",2024-03-07 14:24:00,2024-03-07 15:02:00,Thursday
26611121000,ｸﾗｳﾝﾗ-ﾄﾞ#100K(ﾀﾞﾝ),,C/S,15.0,,,,×,,,×,12700,2024-03-07,,,2024-03-07,4,2024-03-07 15:32:00-->2024-03-07 17:08:00,2024-03-07,,×,A,0,96,"6,300","8,000",2024-03-07 15:32:00,2024-03-07 17:08:00,Thursday
26632521020,ｸﾗｳﾝ ﾗ-ﾄﾞ#300(ﾀﾞﾝ),,C/S,15.0,,,,×,,,×,6000,2024-03-07,,,2024-03-07,5,2024-03-07 17:28:00-->2024-03-07 18:13:00,2024-03-07,,×,A,0,45,"6,000","8,000",2024-03-07 17:28:00,2024-03-07 18:13:00,Thursday
25566421000,FCｼｮｰﾄﾆﾝｸﾞ,,C/S,15.0,,,,×,,,×,12700,2024-03-07,,,2024-03-07,6,2024-03-07 18:43:00-->2024-03-07 20:19:00,2024-03-07,〇,×,A,0,96,"5,000","8,000",2024-03-07 18:43:00,2024-03-07 20:19:00,Thursday
25329221830,YKｼｮｰﾄﾆﾝｸﾞ(S),,C/S,15.0,,,,×,〇,,×,12700,2024-03-09,,初回限定,2024-03-08,1,2024-03-08 07:20:00-->2024-03-08 08:56:00,2024-03-08,〇,×,A,0,96,"6,000","8,000",2024-03-08 07:20:00,2024-03-08 08:56:00,Friday
25105621000,ﾊﾟﾈﾘ-PV(12),,C/S,15.0,,,,×,,,×,6000,2024-03-09,,,2024-03-08,2,2024-03-08 09:16:00-->2024-03-08 10:01:00,2024-03-08,〇,×,A,0,45,"5,000","8,000",2024-03-08 09:16:00,2024-03-08 10:01:00,Friday
25226125020,ｱﾒﾘｶ-ﾅDX*(15K),,C/S,15.0,,,,×,,,×,12700,2024-03-09,,,2024-03-08,3,2024-03-08 10:31:00-->2024-03-08 12:07:00,2024-03-08,,×,A,0,96,"5,800","8,000",2024-03-08 10:31:00,2024-03-08 12:07:00,Friday
25306521830,ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),,C/S,10.0,,,,×,,,×,12700,2024-03-09,,,2024-03-08,4,2024-03-08 12:37:00-->2024-03-08 14:59:00,2024-03-08,〇,×,A,0,142,"4,050","5,400",2024-03-08 12:37:00,2024-03-08 14:59:00,Friday
25230924850,ﾁｴｽﾀ-2000 10K (M),,C/S,10.0,,〇,,×,,,×,6000,2024-03-09,,,2024-03-08,5,2024-03-08 15:19:00-->2024-03-08 16:26:00,2024-03-08,〇,×,A,0,67,"4,800","5,400",2024-03-08 15:19:00,2024-03-08 16:26:00,Friday
25710721000,FPｼｮ-ﾄLT2,,C/S,15.0,,〇,,×,,,○,12700,2024-03-11,,,2024-03-08,6,2024-03-08 16:46:00-->2024-03-08 18:22:00,2024-03-08,〇,×,A,0,96,"6,000","8,000",2024-03-08 16:46:00,2024-03-08 18:22:00,Friday
25710722000,FPｼｮｰﾄLT2(15K),,C/S,15.0,,〇,,×,,,×,12700,2024-03-11,,,2024-03-08,7,2024-03-08 18:42:00-->2024-03-08 20:18:00,2024-03-08,〇,×,A,0,96,"6,000","8,000",2024-03-08 18:42:00,2024-03-08 20:18:00,Friday
25716121850,ｼﾞｴﾐﾆNTR(M),,C/S,15.0,,,,○,,,×,10000,2024-03-11,,,2024-03-11,1,2024-03-11 07:20:00-->2024-03-11 08:46:00,2024-03-11,,×,A,0,86,-,"7,000",2024-03-11 07:20:00,2024-03-11 08:46:00,Monday
25761221000,ﾌｱﾝﾄﾑ950N,,C/S,15.0,,,,○,,,×,10000,2024-03-11,,,2024-03-11,2,2024-03-11 09:06:00-->2024-03-11 10:26:00,2024-03-11,,×,A,0,80,-,"7,500",2024-03-11 09:06:00,2024-03-11 10:26:00,Monday
25117722830,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),,C/S,15.0,,,,×,,,×,6000,2024-03-11,,,2024-03-11,3,2024-03-11 11:56:00-->2024-03-11 12:41:00,2024-03-11,〇,×,A,0,45,"6,000","8,000",2024-03-11 11:56:00,2024-03-11 12:41:00,Monday
25118721830,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),,C/S,15.0,,,,×,,,×,6000,2024-03-11,,,2024-03-11,4,2024-03-11 13:01:00-->2024-03-11 13:46:00,2024-03-11,〇,×,A,0,45,"5,800","8,000",2024-03-11 13:01:00,2024-03-11 13:46:00,Monday
25225621870,PVｼｮｰﾄEG(H),,C/S,15.0,,,,×,,,×,6000,2024-03-11,,,2024-03-11,5,2024-03-11 14:06:00-->2024-03-11 14:51:00,2024-03-11,〇,×,A,0,45,"6,000","8,000",2024-03-11 14:06:00,2024-03-11 14:51:00,Monday
25224321030,PVｼｮｰﾄ(B) (3),,C/S,15.0,,,準高,×,,,×,12700,2024-03-11,,,2024-03-11,6,2024-03-11 15:11:00-->2024-03-11 16:53:00,2024-03-11,〇,×,A,0,102,"5,400","7,500",2024-03-11 15:11:00,2024-03-11 16:53:00,Monday
25224321030,PVｼｮｰﾄ(B) (3),,C/S,15.0,,,準高,×,,,×,12700,2024-03-11,,,2024-03-11,7,2024-03-11 17:13:00-->2024-03-11 18:55:00,2024-03-11,〇,×,A,0,102,"5,400","7,500",2024-03-11 17:13:00,2024-03-11 18:55:00,Monday
25294121810,ｽﾃｲﾔ-ｽﾍﾟｼﾔﾙ(SS),,C/S,15.0,,,準高,×,,〇,×,12700,2024-03-11,,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,2024-03-11,8,2024-03-11 19:15:00-->2024-03-11 21:13:00,2024-03-11,〇,×,A,0,118,"6,000","6,500",2024-03-11 19:15:00,2024-03-11 21:13:00,Monday
25800421870,MB-ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),,C/S,15.0,,,,×,〇,,×,12700,2024-03-13,,副原料無添,2024-03-12,1,2024-03-12 07:20:00-->2024-03-12 08:56:00,2024-03-13,〇,×,A,0,96,"6,000","8,000",2024-03-12 07:20:00,2024-03-12 08:56:00,Tuesday
25286621830,EZｼｮｰﾄﾆﾝｸﾞ(S),,C/S,15.0,,,,×,〇,,×,12700,2024-03-15,,副原料無添,2024-03-12,2,2024-03-12 09:16:00-->2024-03-12 11:23:00,2024-03-15,〇,×,A,0,127,"4,000","6,000",2024-03-12 09:16:00,2024-03-12 11:23:00,Tuesday
25800421870,MB-ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),,C/S,15.0,,,,×,〇,,×,12700,2024-03-16,,副原料無添,2024-03-12,3,2024-03-12 11:43:00-->2024-03-12 13:19:00,2024-03-15,〇,×,A,0,96,"6,000","8,000",2024-03-12 11:43:00,2024-03-12 13:19:00,Tuesday
25566421000,FCｼｮｰﾄﾆﾝｸﾞ,,C/S,15.0,,,,×,,,×,12700,2024-03-12,,,2024-03-12,4,2024-03-12 13:39:00-->2024-03-12 15:15:00,2024-03-12,〇,×,A,0,96,"5,000","8,000",2024-03-12 13:39:00,2024-03-12 15:15:00,Tuesday
25710721000,FPｼｮ-ﾄLT2,,C/S,15.0,,〇,,×,,,○,12700,2024-03-15,,,2024-03-12,5,2024-03-12 15:35:00-->2024-03-12 17:11:00,2024-03-14,〇,×,A,0,96,"6,000","8,000",2024-03-12 15:35:00,2024-03-12 17:11:00,Tuesday
25230924850,ﾁｴｽﾀ-2000 10K (M),,C/S,10.0,,〇,,×,,,×,6000,2024-03-18,,,2024-03-12,6,2024-03-12 17:31:00-->2024-03-12 18:38:00,2024-03-15,〇,×,A,0,67,"4,800","5,400",2024-03-12 17:31:00,2024-03-12 18:38:00,Tuesday
25222123040,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,C/S,20.0,,,,×,,,×,5000,2024-03-14,,,2024-03-12,7,2024-03-12 18:58:00-->2024-03-12 19:36:00,2024-03-14,〇,×,A,0,38,"6,000","8,000",2024-03-12 18:58:00,2024-03-12 19:36:00,Tuesday
25126221000,ｽﾃｲﾔ-SA,,C/S,15.0,,,高,×,,〇,×,12700,2024-03-12,,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,2024-03-12,8,2024-03-12 19:56:00-->2024-03-12 21:54:00,2024-03-12,〇,×,A,0,118,"6,000","6,500",2024-03-12 19:56:00,2024-03-12 21:54:00,Tuesday
25244422870,ｲﾄｳIK-NT(H),,C/S,15.0,,,,×,,,×,12700,2024-03-13,,,2024-03-13,1,2024-03-13 07:20:00-->2024-03-13 08:56:00,2024-03-13,〇,×,A,0,96,"5,000","8,000",2024-03-13 07:20:00,2024-03-13 08:56:00,Wednesday
25230924890,ﾁｴｽﾀ-2000 10K (HH),,C/S,10.0,,〇,,×,,,×,6000,2024-03-18,,,2024-03-13,2,2024-03-13 09:16:00-->2024-03-13 10:23:00,2024-03-15,〇,×,A,0,67,"4,800","5,400",2024-03-13 09:16:00,2024-03-13 10:23:00,Wednesday
25710721000,FPｼｮ-ﾄLT2,,C/S,15.0,,〇,,×,,,○,12700,2024-03-18,,,2024-03-13,3,2024-03-13 10:43:00-->2024-03-13 12:19:00,2024-03-15,〇,×,A,0,96,"6,000","8,000",2024-03-13 10:43:00,2024-03-13 12:19:00,Wednesday
25710722000,FPｼｮｰﾄLT2(15K),,C/S,15.0,,〇,,×,,,×,12700,2024-03-18,,,2024-03-13,4,2024-03-13 12:39:00-->2024-03-13 14:15:00,2024-03-15,〇,×,A,0,96,"6,000","8,000",2024-03-13 12:39:00,2024-03-13 14:15:00,Wednesday
25710021000,RMB-FPｼｮｰﾄLT2(15K),,C/S,15.0,,〇,,×,,,×,12700,2024-03-18,,,2024-03-13,5,2024-03-13 14:35:00-->2024-03-13 16:11:00,2024-03-15,〇,×,A,0,96,"6,000",8000,2024-03-13 14:35:00,2024-03-13 16:11:00,Wednesday
25719121850,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,,C/S,15.0,,〇,,×,,〇,○,12700,2024-03-18,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,2024-03-13,6,2024-03-13 16:31:00-->2024-03-13 19:04:00,2024-03-15,〇,○,A,0,153,"6,000","5,000",2024-03-13 16:31:00,2024-03-13 19:04:00,Wednesday
25719121870,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,,C/S,15.0,,〇,,×,,〇,○,12700,2024-03-15,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,2024-03-13,7,2024-03-13 19:24:00-->2024-03-13 21:57:00,2024-03-14,〇,○,A,0,153,"6,000","5,000",2024-03-13 19:24:00,2024-03-13 21:57:00,Wednesday
25224321040,PVｼｮｰﾄ(B) (4),,C/S,15.0,,,,×,,,×,12700,2024-03-14,,,2024-03-14,1,2024-03-14 07:20:00-->2024-03-14 09:02:00,2024-03-14,〇,×,A,0,102,"5,400","7,500",2024-03-14 07:20:00,2024-03-14 09:02:00,Thursday
25804921000,MB-ｻﾝﾄﾞｼｮｰﾄDX-TL(M),,C/S,15.0,,〇,,×,,,×,38100,2024-03-18,,,2024-03-14,2,2024-03-14 09:32:00-->2024-03-14 14:18:00,2024-03-15,,×,A,0,286,"6,000","8,000",2024-03-14 09:32:00,2024-03-14 14:18:00,Thursday
25217722000,ﾁｪｽﾀ-LPV-TL2(18K),,C/S,18.0,,〇,,×,,,×,12700,2024-03-20,,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡,2024-03-14,3,2024-03-14 14:48:00-->2024-03-14 16:24:00,2024-03-19,〇,×,A,0,96,"6,000","8,000",2024-03-14 14:48:00,2024-03-14 16:24:00,Thursday
25213124040,ﾁｴｽﾀ- 88(12.7K)(4),,C/S,12.7,,〇,,×,,,×,4000,2024-03-20,,,2024-03-14,4,2024-03-14 16:44:00-->2024-03-14 17:20:00,2024-03-19,〇,×,A,0,36,"6,000","6,800",2024-03-14 16:44:00,2024-03-14 17:20:00,Thursday
25299021000,ｼｮ-ﾄﾆﾝｸﾞLO-T2,,C/S,15.0,,,,×,,,×,12700,2024-03-16,,,2024-03-14,5,2024-03-14 17:50:00-->2024-03-14 19:26:00,2024-03-15,,×,A,0,96,"6,000","8,000",2024-03-14 17:50:00,2024-03-14 19:26:00,Thursday
25217621380,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,C/S,15.0,,,低,×,,,×,12700,2024-03-16,,,2024-03-14,6,2024-03-14 19:56:00-->2024-03-14 21:32:00,2024-03-15,〇,×,A,0,96,"6,000","8,000",2024-03-14 19:56:00,2024-03-14 21:32:00,Thursday
25716121850,ｼﾞｴﾐﾆNTR(M),,C/S,15.0,,,,○,,,×,10000,2024-03-18,,,2024-03-15,1,2024-03-15 07:20:00-->2024-03-15 08:46:00,2024-03-18,,×,A,0,86,-,"7,000",2024-03-15 07:20:00,2024-03-15 08:46:00,Friday
25326521000,ﾊﾟﾈﾘ-PV(F),,C/S,15.0,,,,×,,,×,12700,2024-03-16,,,2024-03-15,2,2024-03-15 10:16:00-->2024-03-15 11:52:00,2024-03-15,〇,×,A,0,96,"5,000","8,000",2024-03-15 10:16:00,2024-03-15 11:52:00,Friday
25213221830,ﾁｴｽﾀ-77(M),,C/S,15.0,,〇,,×,,,×,6000,2024-03-22,,,2024-03-15,3,2024-03-15 12:12:00-->2024-03-15 12:57:00,2024-03-21,〇,×,A,0,45,"6,000","8,000",2024-03-15 12:12:00,2024-03-15 12:57:00,Friday
25225621850,PVｼｮｰﾄEG(M),,C/S,15.0,,,,×,,,×,12700,2024-03-18,,,2024-03-15,4,2024-03-15 13:17:00-->2024-03-15 14:53:00,2024-03-18,〇,×,A,0,96,"6,000","8,000",2024-03-15 13:17:00,2024-03-15 14:53:00,Friday
25226125020,ｱﾒﾘｶ-ﾅDX*(15K),,C/S,15.0,,,,×,,,×,12700,2024-03-18,,,2024-03-15,5,2024-03-15 15:23:00-->2024-03-15 16:59:00,2024-03-18,,×,A,0,96,"5,800","8,000",2024-03-15 15:23:00,2024-03-15 16:59:00,Friday
25306521830,ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),,C/S,10.0,,,,×,,,×,12700,2024-03-18,,,2024-03-15,6,2024-03-15 17:29:00-->2024-03-15 19:51:00,2024-03-18,〇,×,A,0,142,"4,050","5,400",2024-03-15 17:29:00,2024-03-15 19:51:00,Friday
25804121000,MB-BSｸﾘ-ﾑ-3(16.5K),,C/S,16.5,,,,×,,,×,12700,2024-03-18,,,2024-03-15,7,2024-03-15 20:11:00-->2024-03-15 21:47:00,2024-03-18,〇,×,A,0,96,"6,000","8,000",2024-03-15 20:11:00,2024-03-15 21:47:00,Friday
