品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15,8000,〇,,,,,,12400,20220618,K-202206-0476,,,,
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15,8000,〇,,,,,,12700,20220618,K-202205-1495,,,,
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15,8000,〇,,,,,,12700,20220618,K-202205-1494,,,,
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15,8000,〇,,,,,,12700,20220618,K-202205-1493,,,,
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15,8000,,,,〇,,,12000,20220618,K-202205-1528,副原料添加多く初回限定,,,
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15,8000,,,,〇,,,12000,20220618,K-202205-1529,副原料添加多く初回限定,,,
25226125020,ｱﾒﾘｶｰﾅDX*(15K),1205,ＳＶ,15,8000,,,,,,,12700,20220618,K-202205-1488,,,,
25317521870,ｼﾖ-ﾄﾆﾝｸﾞYA-III(H),1205,ＳＶ,15,8000,,,,〇,,,12700,20220618,K-202205-0914,副原料添加なし初回限定,,,
25230924870,ﾁｴｽﾀ-2000 10K (H),1205,ＳＶ,10,5400,〇,,,,,,8700,20220618,K-202206-0060,,,,
25230924850,ﾁｴｽﾀ-2000 10K (M),1205,ＳＶ,10,5400,〇,,,,,,4000,20220618,K-202206-0061,,,,
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15,8000,,,,,,,12700,20220618,K-202205-0882,,,,
25711121380,ﾓ-ｾﾞﾙBU(38℃),1205,ＳＶ,15,8000,,低沃素価,,,,,12700,20220618,K-202205-1542,,,,
