品目コード,ライン,入目,流速,予定数量(㎏),納期,チケットＮＯ,備考,生産日,順番,slot,nouki_copy,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,品名,入れ目,荷姿,SVライン
25224321030,,15.0,,12700,2024-03-11,,,2024-03-08,6,2024-03-08 20:31:00-->2024-03-08 22:13:00,2024-03-11,142,102,"5,400","7,500",PVｼｮｰﾄ(B) (3),,,
25326721000,,15.0,,24000,2024-03-11,,次ﾊﾞｯﾁｲﾄｳIK-NTを必ず組むこと｡,2024-03-11,1,2024-03-11 07:20:00-->2024-03-11 10:20:00,2024-03-11,249,180,"5,800","8,000",MCｼｮｰﾄ(F),,,
25244422870,,15.0,,12700,2024-03-11,,,2024-03-11,2,2024-03-11 10:40:00-->2024-03-11 12:16:00,2024-03-11,153,96,"5,000","8,000",ｲﾄｳIK-NT(H),,,
25118721830,,15.0,,6000,2024-03-11,,,2024-03-11,3,2024-03-11 12:36:00-->2024-03-11 13:21:00,2024-03-11,63,45,"5,800","8,000",ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),,,
25326521000,,15.0,,12700,2024-03-11,,,2024-03-11,4,2024-03-11 13:41:00-->2024-03-11 15:17:00,2024-03-11,153,96,"5,000","8,000",ﾊﾟﾈﾘ-PV(F),,,
25224321040,,15.0,,12700,2024-03-11,,,2024-03-11,5,2024-03-11 15:37:00-->2024-03-11 17:19:00,2024-03-11,142,102,"5,400","7,500",PVｼｮｰﾄ(B) (4),,,
25225621870,,15.0,,6000,2024-03-11,,,2024-03-11,6,2024-03-11 17:39:00-->2024-03-11 18:24:00,2024-03-11,60,45,"6,000","8,000",PVｼｮｰﾄEG(H),,,
25117722830,,15.0,,6000,2024-03-11,,,2024-03-11,7,2024-03-11 18:44:00-->2024-03-11 19:29:00,2024-03-11,60,45,"6,000","8,000",ﾌﾟﾚﾐｱﾑｼｮｰﾄ-ADF (S),,,
25294121810,,15.0,,12700,2024-03-11,,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,2024-03-11,8,2024-03-11 19:49:00-->2024-03-11 21:47:00,2024-03-11,127,118,"6,000","6,500",ｽﾃｲﾔ-ｽﾍﾟｼﾔﾙ(SS),,,
25286621830,,15.0,,12700,2024-03-15,,副原料無添,2024-03-12,1,2024-03-12 07:20:00-->2024-03-12 09:27:00,2024-03-15,0,0,"4,000","6,000",EZｼﾖ-ﾄﾆﾝｸﾞ(S),15.0,C/S,〇
25800421870,,15.0,,12700,2024-03-13,,副原料無添,2024-03-12,2,2024-03-12 09:47:00-->2024-03-12 11:23:00,2024-03-13,0,0,"6,000","8,000",MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),15.0,C/S,〇
25800421870,,15.0,,12700,2024-03-16,,副原料無添,2024-03-12,3,2024-03-12 11:43:00-->2024-03-12 13:19:00,2024-03-15,0,0,"6,000","8,000",MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),15.0,C/S,〇
25566421000,,15.0,,12700,2024-03-12,,,2024-03-12,4,2024-03-12 13:39:00-->2024-03-12 15:15:00,2024-03-12,0,0,"5,000","8,000",FCショートニング,15.0,C/S,〇
25230924850,,10.0,,6000,2024-03-18,,,2024-03-12,5,2024-03-12 15:35:00-->2024-03-12 16:42:00,2024-03-15,0,0,"4,800","5,400",ﾁｴｽﾀ-2000 10K (M),10.0,C/S,〇
25230924890,,10.0,,6000,2024-03-18,,,2024-03-12,6,2024-03-12 17:02:00-->2024-03-12 18:09:00,2024-03-15,0,0,"4,800","5,400",ﾁｴｽﾀ-2000 10K (HH),10.0,C/S,〇
25126221000,,15.0,,12700,2024-03-12,,ｽﾃｲﾔｰｼﾘｰｽﾞ計画順番 ； STｼｮｰﾄ → ｽﾃｲﾔｰﾃﾞﾗｯｸｽK → ｽﾃｲﾔｰｽﾍﾟｼｬﾙ/ｱｺﾙﾄ → ｽﾃｲﾔｰSA,2024-03-12,7,2024-03-12 18:29:00-->2024-03-12 20:27:00,2024-03-12,0,0,"6,000","6,500",ｽﾃｲﾔ-SA,15.0,C/S,〇
25804921000,,15.0,,38100,2024-03-18,,,2024-03-13,1,2024-03-13 07:20:00-->2024-03-13 12:06:00,2024-03-15,0,0,"6,000","8,000",MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(M),15.0,C/S,〇
25217722000,,18.0,,12700,2024-03-20,,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡,2024-03-13,2,2024-03-13 12:36:00-->2024-03-13 14:12:00,2024-03-19,0,0,"6,000","8,000",ﾁｪｽﾀ-LPV-TL2(18K),18.0,C/S,〇
25213124040,,12.7,,4000,2024-03-20,,,2024-03-13,3,2024-03-13 14:32:00-->2024-03-13 15:08:00,2024-03-19,0,0,"6,000","6,800",ﾁｴｽﾀ- 88(12.7K)(4),12.7,C/S,〇
25224321040,,15.0,,12700,2024-03-14,,,2024-03-13,4,2024-03-13 15:28:00-->2024-03-13 17:10:00,2024-03-14,0,0,"5,400","7,500",PVｼﾖ-ﾄ(B) (4),15.0,C/S,〇
25299021000,,15.0,,12700,2024-03-16,,,2024-03-13,5,2024-03-13 17:40:00-->2024-03-13 19:16:00,2024-03-15,0,0,"6,000","8,000",ｼｮ-ﾄﾆﾝｸﾞLO-T2,15.0,C/S,〇
25217621380,,15.0,,12700,2024-03-16,,,2024-03-13,6,2024-03-13 19:46:00-->2024-03-13 21:22:00,2024-03-15,0,0,"6,000","8,000",ｻﾝﾄﾞｼﾖ-ﾄNT (38ﾟC),15.0,C/S,〇
25222522060,,20.0,,5000,2024-03-21,,,2024-03-14,1,2024-03-14 07:20:00-->2024-03-14 07:58:00,2024-03-20,0,0,"5,400","8,000",ﾊﾟﾈﾘ-ｼﾖ-ﾄST-2-TL(38),20.0,C/S,〇
25222522040,,20.0,,7500,2024-03-21,,,2024-03-14,2,2024-03-14 08:18:00-->2024-03-14 09:15:00,2024-03-20,0,0,"5,400","8,000",ﾊﾟﾈﾘ-ｼﾖ-ﾄST-2-TL(35),20.0,C/S,〇
25326521000,,15.0,,12700,2024-03-16,,,2024-03-14,3,2024-03-14 09:35:00-->2024-03-14 11:11:00,2024-03-15,0,0,"5,000","8,000",ﾊﾟﾈﾘ-PV(F),15.0,C/S,〇
25225621850,,15.0,,12700,2024-03-18,,,2024-03-14,4,2024-03-14 11:31:00-->2024-03-14 13:07:00,2024-03-18,0,0,"6,000","8,000",PVｼﾖ-ﾄEG(M),15.0,C/S,〇
25226125020,,15.0,,12700,2024-03-18,,,2024-03-14,5,2024-03-14 13:37:00-->2024-03-14 15:13:00,2024-03-18,0,0,"5,800","8,000",ｱﾒﾘｶ-ﾅDX*(15K),15.0,C/S,〇
25306521830,,10.0,,12700,2024-03-18,,,2024-03-14,6,2024-03-14 15:43:00-->2024-03-14 18:05:00,2024-03-18,0,0,"4,050","5,400",ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),10.0,C/S,〇
25719121850,,15.0,,12700,2024-03-18,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,2024-03-14,7,2024-03-14 18:25:00-->2024-03-14 20:58:00,2024-03-15,0,0,"6,000","5,000",ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,15.0,C/S,〇
25716121850,,15.0,,10000,2024-03-18,,,2024-03-15,1,2024-03-15 07:20:00-->2024-03-15 08:46:00,2024-03-18,0,0,-,"7,000",ｼﾞｴﾐﾆNTR(M),15.0,C/S,〇
25213221830,,15.0,,6000,2024-03-22,,,2024-03-15,2,2024-03-15 10:16:00-->2024-03-15 11:01:00,2024-03-21,0,0,"6,000","8,000",ﾁｴｽﾀ-77(M),15.0,C/S,〇
25804121000,,16.5,,12700,2024-03-18,,,2024-03-15,3,2024-03-15 11:21:00-->2024-03-15 12:57:00,2024-03-18,0,0,"6,000","8,000",MB-BSｸﾘ-ﾑ-3(16.5K),16.5,C/S,〇
25222123040,,20.0,,5000,2024-03-21,,,2024-03-15,4,2024-03-15 13:17:00-->2024-03-15 13:55:00,2024-03-21,0,0,"6,000","8,000",ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇
25224321040,,15.0,,12700,2024-03-21,,,2024-03-15,5,2024-03-15 14:15:00-->2024-03-15 15:57:00,2024-03-21,0,0,"5,400","7,500",PVｼﾖ-ﾄ(B) (4),15.0,C/S,〇
26632521020,,15.0,,6000,2024-03-21,,,2024-03-15,6,2024-03-15 16:27:00-->2024-03-15 17:12:00,2024-03-21,0,0,"6,000","8,000",ｸﾗｳﾝ ﾗ-ﾄﾞ#300(ﾀﾞﾝ),15.0,C/S,〇
25566421000,,15.0,,12700,2024-03-19,,,2024-03-15,7,2024-03-15 17:42:00-->2024-03-15 19:18:00,2024-03-19,0,0,"5,000","8,000",FCショートニング,15.0,C/S,〇
25220821830,,15.0,,4000,2024-03-21,,,2024-03-15,8,2024-03-15 19:38:00-->2024-03-15 20:08:00,2024-03-21,0,0,"5,000","8,000",PVｼﾖ-ﾄ(B)-L (S),15.0,C/S,〇
