繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項
,2024-02-06,25120028830,15.0,25400,20240229,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-06,25120028830,15.0,25400,20240304,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-06,25120028830,15.0,38100,20240307,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-06,25120028830,15.0,25400,20240311,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-27,25120028830,15.0,50800,20240318,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-27,25120028830,15.0,25400,20240325,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-27,25120028830,15.0,50800,20240330,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-27,25120028830,15.0,25400,20240404,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-27,25120028830,15.0,38100,20240408,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-03-18,25120028830,15.0,38100,20240411,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-03-18,25120028830,15.0,25400,20240415,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-03-18,25120028830,15.0,38100,20240418,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-03-18,25120028830,15.0,38100,20240422,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
2024-04-13 00:00:00,2024-03-26,25120028830,15.0,12700,20240413,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
2024-04-11 00:00:00,2024-03-27,25120028830,15.0,12700,20240411,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-02,25120028830,15.0,12700,20240425,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-02,25120028830,15.0,12700,20240425,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-03,25120028830,15.0,38100,20240430,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-03,25120028830,15.0,25400,20240506,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-03,25120028830,15.0,25400,20240509,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-03,25120028830,15.0,25400,20240513,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
2024-04-20 00:00:00,2024-04-05,25120028830,15.0,12700,20240420,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-19,25120028830,15.0,12700,20240430,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-22,25120028830,15.0,50800,20240520,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-22,25120028830,15.0,76200,20240527,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-05-09,25120028830,15.0,38100,20240606,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-05-09,25120028830,15.0,25400,20240610,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-06,25120028870,15.0,12700,20240226,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-06,25120028870,15.0,12700,20240304,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-06,25120028870,15.0,12700,20240307,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-03-18,25120028870,15.0,12700,20240415,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
2024-04-11 00:00:00,2024-03-26,25120028870,15.0,12700,20240411,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
2024-04-04 00:00:00,2024-03-27,25120028870,15.0,12700,20240404,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-03,25120028870,15.0,12700,20240430,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-22,25120028870,15.0,12700,20240520,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
2024-05-10 00:00:00,2024-05-02,25120028870,15.0,12700,20240510,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-05-09,25120028870,15.0,12700,20240527,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-05-09,25120028870,15.0,12700,20240606,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-05-09,25120028870,15.0,12700,20240610,,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-06,25130921830,15.0,6000,20240304,,ｼｮｰﾄﾆﾝｸﾞAM DIR(S),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,,,×,×,
,2024-03-18,25130921830,15.0,6000,20240413,,ｼｮｰﾄﾆﾝｸﾞAM DIR(S),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,,,×,×,
,2024-04-03,25130921830,15.0,6000,20240507,,ｼｮｰﾄﾆﾝｸﾞAM DIR(S),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,,,×,×,
,2024-02-06,25132325830,10.0,12700,20240226,,ﾌﾟﾚﾐｱﾑｼｮｰﾄCF 10K(S),10.0,C/S,〇,"5,400",〇,"5,400",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-06,25132325830,10.0,12700,20240307,,ﾌﾟﾚﾐｱﾑｼｮｰﾄCF 10K(S),10.0,C/S,〇,"5,400",〇,"5,400",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-27,25132325830,10.0,12700,20240321,,ﾌﾟﾚﾐｱﾑｼｮｰﾄCF 10K(S),10.0,C/S,〇,"5,400",〇,"5,400",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-27,25132325830,10.0,12700,20240404,,ﾌﾟﾚﾐｱﾑｼｮｰﾄCF 10K(S),10.0,C/S,〇,"5,400",〇,"5,400",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-03-18,25132325830,10.0,12700,20240413,,ﾌﾟﾚﾐｱﾑｼｮｰﾄCF 10K(S),10.0,C/S,〇,"5,400",〇,"5,400",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-03,25132325830,10.0,12700,20240422,,ﾌﾟﾚﾐｱﾑｼｮｰﾄCF 10K(S),10.0,C/S,〇,"5,400",〇,"5,400",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-03,25132325830,10.0,12700,20240430,,ﾌﾟﾚﾐｱﾑｼｮｰﾄCF 10K(S),10.0,C/S,〇,"5,400",〇,"5,400",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-03,25132325830,10.0,12700,20240510,,ﾌﾟﾚﾐｱﾑｼｮｰﾄCF 10K(S),10.0,C/S,〇,"5,400",〇,"5,400",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-22,25132325830,10.0,12700,20240518,,ﾌﾟﾚﾐｱﾑｼｮｰﾄCF 10K(S),10.0,C/S,〇,"5,400",〇,"5,400",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-06,25134723850,15.0,12700,20240305,,IKｼｮｰﾄ(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-02-27,25134723850,15.0,12700,20240325,,IKｼｮｰﾄ(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-03-18,25134723850,15.0,12700,20240409,,IKｼｮｰﾄ(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-04-03,25134723850,15.0,12700,20240426,,IKｼｮｰﾄ(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-04-03,25134723850,15.0,12700,20240513,,IKｼｮｰﾄ(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
2024-04-23 00:00:00,2024-04-18,25134723850,15.0,12700,20240423,,IKｼｮｰﾄ(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-04-22,25134723850,15.0,12700,20240506,,IKｼｮｰﾄ(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-04-22,25134723850,15.0,12700,20240515,,IKｼｮｰﾄ(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-04-22,25134723850,15.0,12700,20240527,,IKｼｮｰﾄ(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-05-09,25134723850,15.0,12700,20240611,,IKｼｮｰﾄ(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-02-06,25152321830,15.0,12700,20240229,,PSV(S),15.0,C/S,〇,"8,000",〇,"4,400",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-03,25152321830,15.0,6000,20240507,,PSV(S),15.0,C/S,〇,"8,000",〇,"4,400",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-04-09,25152321830,15.0,6000,20240514,,PSV(S),15.0,C/S,〇,"8,000",〇,"4,400",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-02-06,25212222850,15.0,6000,20240304,,ﾁｴｽﾀ-88-TL(M),15.0,C/S,〇,"5,400",〇,"6,000",A,,,×,〇,〇,,,×,×,
,2024-04-03,25212222850,15.0,6000,20240430,,ﾁｴｽﾀ-88-TL(M),15.0,C/S,〇,"5,400",〇,"6,000",A,,,×,〇,〇,,,×,×,
,2024-02-06,25217621360,15.0,12700,20240306,,ｻﾝﾄﾞｼｮｰﾄNT (36ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
,2024-02-27,25217621360,15.0,12700,20240325,,ｻﾝﾄﾞｼｮｰﾄNT (36ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
,2024-02-27,25217621360,15.0,12700,20240408,,ｻﾝﾄﾞｼｮｰﾄNT (36ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
,2024-03-18,25217621360,15.0,12700,20240415,,ｻﾝﾄﾞｼｮｰﾄNT (36ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
,2024-04-03,25217621360,15.0,12700,20240422,,ｻﾝﾄﾞｼｮｰﾄNT (36ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
,2024-02-06,25217722000,18.0,12700,20240229,,ﾁｪｽﾀ-LPV-TL2(18K),18.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡
,2024-02-06,25217722000,18.0,12700,20240309,,ﾁｪｽﾀ-LPV-TL2(18K),18.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡
,2024-02-27,25217722000,18.0,12700,20240320,,ﾁｪｽﾀ-LPV-TL2(18K),18.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡
,2024-02-27,25217722000,18.0,12700,20240330,,ﾁｪｽﾀ-LPV-TL2(18K),18.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡
,2024-03-06,25217722000,18.0,12700,20240406,,ﾁｪｽﾀ-LPV-TL2(18K),18.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡
,2024-03-18,25217722000,18.0,12700,20240415,,ﾁｪｽﾀ-LPV-TL2(18K),18.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡
,2024-04-03,25217722000,18.0,12700,20240430,,ﾁｪｽﾀ-LPV-TL2(18K),18.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡
,2024-04-09,25217722000,18.0,12700,20240506,,ﾁｪｽﾀ-LPV-TL2(18K),18.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡
,2024-05-09,25217722000,18.0,12700,20240527,,ﾁｪｽﾀ-LPV-TL2(18K),18.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,底ﾊﾟｯﾄﾞ敷あり｡公出時生産不可｡
,2024-02-06,25222122060,15.0,4500,20240221,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ(6),15.0,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
,2024-04-22,25222122060,15.0,6000,20240518,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ(6),15.0,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,
,2024-02-06,25224021000,15.0,12700,20240229,,ABｼｮｰﾄ(PM),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
,2024-02-06,25224021000,15.0,12700,20240309,,ABｼｮｰﾄ(PM),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
,2024-02-27,25224021000,15.0,12700,20240325,,ABｼｮｰﾄ(PM),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
,2024-02-27,25224021000,15.0,12700,20240403,,ABｼｮｰﾄ(PM),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
,2024-03-13,25224021000,15.0,12700,20240411,,ABｼｮｰﾄ(PM),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
,2024-03-18,25224021000,15.0,12700,20240422,,ABｼｮｰﾄ(PM),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
,2024-04-02,25224021000,15.0,12700,20240413,,ABｼｮｰﾄ(PM),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
,2024-04-03,25224021000,15.0,12700,20240506,,ABｼｮｰﾄ(PM),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
,2024-04-22,25224021000,15.0,12700,20240527,,ABｼｮｰﾄ(PM),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
,2024-02-06,25224321030,15.0,12700,20240226,,PVｼｮｰﾄ(B) (3),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,準高,,×,×,
,2024-02-06,25224321030,15.0,12700,20240304,,PVｼｮｰﾄ(B) (3),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,準高,,×,×,
,2024-02-27,25224321030,15.0,12700,20240311,,PVｼｮｰﾄ(B) (3),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,準高,,×,×,
2024-03-11 00:00:00,2024-02-29,25224321030,15.0,12700,20240311,,PVｼｮｰﾄ(B) (3),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,準高,,×,×,
,2024-03-21,25224321030,15.0,6000,20240411,,PVｼｮｰﾄ(B) (3),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,準高,,×,×,
,2024-04-22,25224321030,15.0,6000,20240527,,PVｼｮｰﾄ(B) (3),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,準高,,×,×,
,2024-02-06,25224321040,15.0,12700,20240311,,PVｼｮｰﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
,2024-02-27,25224321040,15.0,12700,20240314,,PVｼｮｰﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
,2024-02-27,25224321040,15.0,12700,20240321,,PVｼｮｰﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
,2024-02-27,25224321040,15.0,12700,20240330,,PVｼｮｰﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
,2024-02-27,25224321040,15.0,12700,20240408,,PVｼｮｰﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
,2024-03-13,25224321040,15.0,12700,20240411,,PVｼｮｰﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
,2024-03-18,25224321040,15.0,12700,20240415,,PVｼｮｰﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
,2024-03-18,25224321040,15.0,12700,20240420,,PVｼｮｰﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
,2024-04-03,25224321040,15.0,12700,20240430,,PVｼｮｰﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
,2024-04-03,25224321040,15.0,12700,20240510,,PVｼｮｰﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
,2024-04-22,25224321040,15.0,12700,20240518,,PVｼｮｰﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
,2024-04-22,25224321040,15.0,12700,20240527,,PVｼｮｰﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
,2024-05-09,25224321040,15.0,12700,20240611,,PVｼｮｰﾄ(B) (4),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,,,×,×,
,2024-02-06,25224621030,15.0,5000,20240307,,ｱﾙｽﾀ-ｼｮｰﾄﾆﾝｸﾞ (3),15.0,C/S,〇,"8,000",〇,"4,400",A,,,×,,〇,,,×,×,
,2024-04-03,25224621030,15.0,5000,20240426,,ｱﾙｽﾀ-ｼｮｰﾄﾆﾝｸﾞ (3),15.0,C/S,〇,"8,000",〇,"4,400",A,,,×,,〇,,,×,×,
,2024-05-09,25224621030,15.0,6000,20240611,,ｱﾙｽﾀ-ｼｮｰﾄﾆﾝｸﾞ (3),15.0,C/S,〇,"8,000",〇,"4,400",A,,,×,,〇,,,×,×,
,2024-02-06,25225621850,15.0,12700,20240229,,PVｼｮｰﾄEG(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-02-27,25225621850,15.0,12700,20240318,,PVｼｮｰﾄEG(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-02-27,25225621850,15.0,12700,20240408,,PVｼｮｰﾄEG(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-03-13,25225621850,15.0,12700,20240410,,PVｼｮｰﾄEG(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-03-18,25225621850,15.0,12700,20240415,,PVｼｮｰﾄEG(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-04-03,25225621850,15.0,12700,20240430,,PVｼｮｰﾄEG(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-04-22,25225621850,15.0,12700,20240520,,PVｼｮｰﾄEG(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-05-09,25225621850,15.0,12700,20240610,,PVｼｮｰﾄEG(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
