品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy
25232924850,NCｼﾖ-ﾄ(DIR)(M),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-13,K-202205-0253,,2022-06-11,6,2022-06-11 16:06:00-->2022-06-11 17:42:00,2022-06-13
25224321040,PVｼﾖ-ﾄ(B) (4),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-13,K-202206-0142,,2022-06-11,7,2022-06-11 18:32:00-->2022-06-11 20:08:00,2022-06-13
25217621380,ｻﾝﾄﾞｼﾖ-ﾄNT (38ﾟC),1205,ＳＶ,15.0,8000,,低沃素価,,,,,12700,2022-06-14,K-202205-1475,,2022-06-11,8,2022-06-11 20:38:00-->2022-06-11 22:14:00,2022-06-14
25220421830,TRｼｮｰﾄSEJ2(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-15,K-202206-0059,副原料添加なし初回限定,2022-06-13,1,2022-06-13 07:20:00-->2022-06-13 08:56:00,2022-06-15
25132325870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄCF 10K(H),1205,ＳＶ,10.0,5400,,,,〇,,,12700,2022-06-15,K-202205-1466,副原料添加なし初回限定,2022-06-13,2,2022-06-13 09:16:00-->2022-06-13 11:38:00,2022-06-15
25800421830,MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1546,副原料添加なし初回限定,2022-06-13,3,2022-06-13 11:58:00-->2022-06-13 13:34:00,2022-06-16
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1460,副原料添加なし初回限定,2022-06-13,4,2022-06-13 13:54:00-->2022-06-13 15:30:00,2022-06-16
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1448,副原料添加なし初回限定,2022-06-13,5,2022-06-13 15:50:00-->2022-06-13 17:26:00,2022-06-16
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-13,K-202205-0257,,2022-06-13,6,2022-06-13 17:46:00-->2022-06-13 19:22:00,2022-06-13
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-13,K-202205-1411,,2022-06-13,7,2022-06-13 19:42:00-->2022-06-13 21:18:00,2022-06-13
