品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy,compare
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15,8000,,,,,,,12700,2022/6/13,K-202205-0257,,2022/6/13,3,2022-06-13 10:43:00-->2022-06-13 12:19:00,2022/6/13,×
25306521830,ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),1205,ＳＶ,10,5400,,,,,,,6000,2022/6/13,K-202205-0264,,2022/6/13,4,2022-06-13 12:39:00-->2022-06-13 13:46:00,2022/6/13,×
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/13,K-202205-1411,,2022/6/13,5,2022-06-13 14:06:00-->2022-06-13 15:42:00,2022/6/13,〇
25719121870,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,1205,ＳＶ,15,8000,〇,,,,〇,〇,10200,2022/6/23,K-202206-0224,MO-7S添加品,2022/6/13,6,2022-06-13 16:02:00-->2022-06-13 17:19:00,2022/6/16,〇
25220421830,TRｼｮｰﾄSEJ2(S),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/15,K-202206-0059,副原料添加なし初回限定,2022/6/14,1,2022-06-14 07:20:00-->2022-06-14 08:56:00,2022/6/15,×
25132325870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄCF 10K(H),1205,ＳＶ,10,5400,,,,〇,,,12700,2022/6/15,K-202205-1466,副原料添加なし初回限定,2022/6/14,2,2022-06-14 09:16:00-->2022-06-14 11:38:00,2022/6/15,×
25800421830,MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/16,K-202205-1546,副原料添加なし初回限定,2022/6/14,3,2022-06-14 11:58:00-->2022-06-14 13:34:00,2022/6/16,×
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/16,K-202205-1460,副原料添加なし初回限定,2022/6/14,4,2022-06-14 13:54:00-->2022-06-14 15:30:00,2022/6/16,×
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/16,K-202205-1448,副原料添加なし初回限定,2022/6/14,5,2022-06-14 15:50:00-->2022-06-14 17:26:00,2022/6/16,×
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/14,K-202205-1500,,2022/6/14,6,2022-06-14 17:46:00-->2022-06-14 19:22:00,2022/6/14,〇
