品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy,compare
25225621870,PVｼﾖ-ﾄEG(H),1205,ＳＶ,15,8000,,,,,,,6000,2022/6/30,K-202205-1487,,2022/6/28,6,2022-06-28 16:48:00-->2022-06-28 17:33:00,2022/6/30,×
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15,8000,,,,,,,12700,2022/6/30,K-202205-1510,,2022/6/28,7,2022-06-28 17:53:00-->2022-06-28 19:29:00,2022/6/30,×
25118721810,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄPV-ADF(SS),1205,ＳＶ,15,8000,,,,,,,4000,2022/6/30,K-202205-1444,,2022/6/28,8,2022-06-28 19:49:00-->2022-06-28 20:19:00,2022/6/30,〇
25126221000,ｽﾃｲﾔ-SA,1205,ＳＶ,15,6500,,高沃素価,,,〇,,12700,2022/6/28,K-202205-1464,最終限定,2022/6/28,9,2022-06-28 20:39:00-->2022-06-28 22:37:00,2022/6/28,〇
25800421830,MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/30,K-202205-1547,副原料添加なし初回限定,2022/6/29,1,2022-06-29 07:20:00-->2022-06-29 08:56:00,2022/6/30,×
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/30,K-202205-1456,,2022/6/29,2,2022-06-29 09:16:00-->2022-06-29 10:52:00,2022/6/30,〇
25212521030,ｼﾖｰﾄﾆﾝｸﾞFJP DIR(3),1205,ＳＶ,15,8000,,,,,,,8000,2022/6/30,K-202205-1474,,2022/6/29,3,2022-06-29 11:12:00-->2022-06-29 12:12:00,2022/6/30,×
25130921830,ｼﾖ-ﾄﾆﾝｸﾞAM DIR(S),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/30,K-202205-1465,,2022/6/29,4,2022-06-29 12:32:00-->2022-06-29 14:08:00,2022/6/30,×
25306521830,ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),1205,ＳＶ,10,5400,,,,,,,6000,2022/6/30,K-202205-1521,,2022/6/29,5,2022-06-29 14:28:00-->2022-06-29 15:35:00,2022/6/30,×
25118721830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄPV-ADF (S),1205,ＳＶ,15,8000,,,,,,,6000,2022/6/30,K-202205-1445,,2022/6/29,6,2022-06-29 15:55:00-->2022-06-29 16:40:00,2022/6/30,×
25105621000,ﾊﾟﾈﾘ-PV(12),1205,ＳＶ,15,8000,,,,,,,6000,2022/6/30,K-202205-1442,,2022/6/29,7,2022-06-29 17:00:00-->2022-06-29 17:45:00,2022/6/30,×
25221523060,ﾆﾕ-ｼﾖ-ﾄ(C)10K(6),1205,ＳＶ,10,5400,,,,,,,8000,2022/6/30,K-202206-0039,,2022/6/29,8,2022-06-29 18:05:00-->2022-06-29 19:34:00,2022/6/30,×
25217621380,ｻﾝﾄﾞｼﾖ-ﾄNT (38ﾟC),1205,ＳＶ,15,8000,,低沃素価,,,,,12700,2022/6/30,K-202205-1476,,2022/6/29,9,2022-06-29 19:54:00-->2022-06-29 21:30:00,2022/6/30,〇
