品目コード,ライン,入目,流速,予定数量(㎏),納期,チケットNO,備考,生産日,順番,slot,nouki_copy,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項
25804921000,,15.0,,12700,2024-03-06,,,2024-03-05,5,2024-03-05 16:00:00-->2024-03-05 17:36:00,2024-03-05,127,96,"6,000","8,000",MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,,,,×,×,
25804921000,,15.0,,25400,2024-03-11,,,2024-03-07,6,2024-03-07 15:20:00-->2024-03-07 18:31:00,2024-03-08,254,191,"6,000","8,000",MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,,,,×,×,
25804921000,,15.0,,38100,2024-03-18,,,2024-03-13,1,2024-03-13 07:20:00-->2024-03-13 12:06:00,2024-03-15,381,286,"6,000","8,000",MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,,,,×,×,
25105621000,,15.0,,6000,2024-03-04,,,2024-03-04,2,2024-03-04 12:26:00-->2024-03-04 13:11:00,2024-03-04,72,45,"5,000","8,000",ﾊﾟﾈﾘ-PV(12),15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25105621000,,15.0,,6000,2024-03-09,,,2024-03-06,6,2024-03-06 19:14:00-->2024-03-06 19:59:00,2024-03-08,72,45,"5,000","8,000",ﾊﾟﾈﾘ-PV(12),15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25118721830,,15.0,,6000,2024-03-04,,,2024-03-04,3,2024-03-04 13:31:00-->2024-03-04 14:16:00,2024-03-04,63,45,"5,800","8,000",ﾌﾟﾚﾐｱﾑｼﾖ-ﾄPV-ADF (S),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,,,×,×,
25118721830,,15.0,,6000,2024-03-11,,,2024-03-11,3,2024-03-11 12:36:00-->2024-03-11 13:21:00,2024-03-11,63,45,"5,800","8,000",ﾌﾟﾚﾐｱﾑｼﾖ-ﾄPV-ADF (S),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,,,×,×,
25130921830,,15.0,,6000,2024-03-04,,,2024-03-04,4,2024-03-04 14:36:00-->2024-03-04 15:21:00,2024-03-04,63,45,"5,800","8,000",ｼﾖ-ﾄﾆﾝｸﾞAM DIR(S),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,,,×,×,
25326521000,,15.0,,12700,2024-03-04,,,2024-03-04,5,2024-03-04 15:41:00-->2024-03-04 17:17:00,2024-03-04,153,96,"5,000","8,000",ﾊﾟﾈﾘ-PV(F),15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25326521000,,15.0,,12700,2024-03-11,,,2024-03-11,7,2024-03-11 18:44:00-->2024-03-11 20:20:00,2024-03-11,153,96,"5,000","8,000",ﾊﾟﾈﾘ-PV(F),15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25326521000,,15.0,,12700,2024-03-16,,,2024-03-14,3,2024-03-14 09:35:00-->2024-03-14 11:11:00,2024-03-15,153,96,"5,000","8,000",ﾊﾟﾈﾘ-PV(F),15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
25284921850,,10.0,,6000,2024-03-04,,,2024-03-04,6,2024-03-04 17:37:00-->2024-03-04 18:44:00,2024-03-04,75,67,"4,800","5,400",ﾁｴｽﾀ- EF(M),10.0,C/S,〇,"5,400",〇,"4,800",A,,,×,,〇,,,×,×,
25224321030,,15.0,,12700,2024-03-04,,,2024-03-04,7,2024-03-04 19:04:00-->2024-03-04 20:46:00,2024-03-04,142,102,"5,400","7,500",PVｼﾖ-ﾄ(B) (3),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,準高,,×,×,
25224321030,,15.0,,12700,2024-03-11,,,2024-03-08,6,2024-03-08 18:01:00-->2024-03-08 19:43:00,2024-03-11,142,102,"5,400","7,500",PVｼﾖ-ﾄ(B) (3),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,準高,,×,×,
25224321030,,15.0,,12700,2024-03-11,,,2024-03-08,7,2024-03-08 20:03:00-->2024-03-08 21:45:00,2024-03-11,142,102,"5,400","7,500",PVｼﾖ-ﾄ(B) (3),15.0,C/S,〇,"7,500",〇,"5,400",A,,,×,,〇,準高,,×,×,
25118721810,,15.0,,4000,2024-03-04,,,2024-03-04,8,2024-03-04 21:06:00-->2024-03-04 21:36:00,2024-03-04,42,30,"5,800","8,000",ﾌﾟﾚﾐｱﾑｼﾖ-ﾄPV-ADF(SS),15.0,C/S,〇,"8,000",〇,"5,800",A,,,×,,〇,準高,,×,×,
25120028870,,15.0,,12700,2024-03-07,,副原料無添,2024-03-05,1,2024-03-05 07:20:00-->2024-03-05 08:56:00,2024-03-07,153,96,"5,000","8,000",ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25132325830,,10.0,,12700,2024-03-07,,副原料無添,2024-03-05,2,2024-03-05 09:16:00-->2024-03-05 11:38:00,2024-03-07,142,142,"5,400","5,400",ﾌﾟﾚﾐｱﾑｼﾖ-ﾄCF 10K(S),10.0,C/S,〇,"5,400",〇,"5,400",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25800421870,,15.0,,12700,2024-03-07,,副原料無添,2024-03-05,3,2024-03-05 11:58:00-->2024-03-05 13:34:00,2024-03-07,127,96,"6,000","8,000",MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"6,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25800421870,,15.0,,12700,2024-03-13,,副原料無添,2024-03-12,2,2024-03-12 09:47:00-->2024-03-12 11:23:00,2024-03-13,127,96,"6,000","8,000",MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"6,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25800421870,,15.0,,12700,2024-03-16,,副原料無添,2024-03-12,3,2024-03-12 11:43:00-->2024-03-12 13:19:00,2024-03-15,127,96,"6,000","8,000",MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),15.0,C/S,〇,"8,000",〇,"6,000",A,〇,,×,,〇,,,×,×,副原料無添加品。次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能。
25134723850,,15.0,,12700,2024-03-05,,,2024-03-05,4,2024-03-05 13:54:00-->2024-03-05 15:30:00,2024-03-05,127,96,"6,000","8,000",IKｼﾖ-ﾄ(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
25230924830,,10.0,,6000,2024-03-11,,,2024-03-05,6,2024-03-05 18:06:00-->2024-03-05 19:13:00,2024-03-08,75,67,"4,800","5,400",ﾁｴｽﾀ-2000 10K (S),10.0,C/S,〇,"5,400",〇,"4,800",A,,,×,〇,〇,,,×,×,
25719721850,,15.0,,4500,2024-03-09,,,2024-03-05,7,2024-03-05 19:43:00-->2024-03-05 20:17:00,2024-03-08,45,34,"6,000","8,000",ﾊｲﾌｴ-ﾄﾞ(M),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,,低,,×,×,
25318821000,,15.0,,28500,2024-03-09,,,2024-03-06,1,2024-03-06 07:20:00-->2024-03-06 11:08:00,2024-03-08,0,228,-,"7,500",ｱ-ﾈｽﾄ,15.0,C/S,〇,"7,500",×,-,A,,,○,,,,,×,×,
