品目コード,品名,ライン,荷姿,入目,流速,テンパリング,沃素価,KI製品,初回限定,最終限定,リパック,予定数量(㎏),納期,チケットＮＯ,備考,生産日,順番,slot,nouki_copy,窒素ガス,MO-7S配合,アレルゲン,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,start,end,day
25800811000,MB-Mcﾌﾗｲｵｲﾙ,,CAN,16.0,,,,×,,,×,73200,2024-03-11,,,2024-03-08,1,2024-03-08 07:20:00-->2024-03-08 17:48:00,2024-03-11,,×,A,628,0,"7,000","7,700",2024-03-08 07:20:00,2024-03-08 17:48:00,Friday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25800811000,MB-Mcﾌﾗｲｵｲﾙ,,CAN,16.0,,,,×,,,×,73200,2024-03-11,,,2024-03-11,1,2024-03-11 07:20:00-->2024-03-11 17:48:00,2024-03-11,,×,A,628,0,"7,000","7,700",2024-03-11 07:20:00,2024-03-11 17:48:00,Monday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25272711000,ﾌﾗｲｵｲﾙ-MK,,CAN,15.0,,,,×,,,×,12200,2024-03-12,,,2024-03-12,1,2024-03-12 07:20:00-->2024-03-12 09:36:00,2024-03-12,,×,A,136,0,"5,400","7,500",2024-03-12 07:20:00,2024-03-12 09:36:00,Tuesday
25320311000,ｱﾒﾘｶ-ﾅ-SP,,CAN,15.0,,,,×,,,×,12200,2024-03-14,,,2024-03-12,2,2024-03-12 09:56:00-->2024-03-12 12:07:00,2024-03-14,,×,A,131,0,"5,600","7,000",2024-03-12 09:56:00,2024-03-12 12:07:00,Tuesday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25747111000,SBｵｲﾙR,,CAN,16.0,,,,×,,,×,18300,2024-03-14,,,2024-03-12,3,2024-03-12 13:47:00-->2024-03-12 16:42:00,2024-03-14,,×,A,175,0,"6,300","7,500",2024-03-12 13:47:00,2024-03-12 16:42:00,Tuesday
25326911000,冷蔵KMｼｮｰﾄﾆﾝｸﾞ,,CAN,15.0,,〇,高,×,,,×,6100,2024-03-18,,,2024-03-12,4,2024-03-12 17:02:00-->2024-03-12 18:03:00,2024-03-15,,×,A,61,0,"6,000","7,500",2024-03-12 17:02:00,2024-03-12 18:03:00,Tuesday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
